SYMBOL,oi,oi_chg,oi_chg_pct
RECLTD,46232550,578025,1.3
RELIANCE,119868000,-76500,-0.1
RVNL,39004350,-136675,-0.3
SAIL,196981700,239700,0.1
SBICARD,23288000,12800,0.1
SBILIFE,6791250,-145125,-2.1
SBIN,95137500,2388750,2.6
SHREECEM,375100,11250,3.1
SHRIRAMFIN,31177575,-451275,-1.4
SIEMENS,3578050,-79100,-2.2
SOLARINDS,886250,-1100,-0.1
SONACOMS,10764075,269500,2.6
SRF,4596200,-3600,-0.1
SUNPHARMA,16414300,302050,1.9
SUPREMEIND,2315075,-2450,-0.1
SUZLON,480441000,-3403600,-0.7
SWIGGY,69673025,-20075,-0.0
TATACONSUM,17652800,54450,0.3
TATAELXSI,2629375,-111250,-4.1
TATAPOWER,67609150,105850,0.2
TATASTEEL,204960250,4446750,2.2
TCS,32975775,-252225,-0.8
TECHM,17355600,-810600,-4.5
TIINDIA,2230600,19000,0.9
TITAN,6016500,-151725,-2.5
TMPV,82710400,-716800,-0.9
TORNTPHARM,3787625,-67375,-1.7
TRENT,10959525,-182250,-1.6
TVSMOTOR,9829225,-322525,-3.2
ULTRACEMCO,1899750,-16650,-0.9
UNIONBANK,121983975,-542062,-0.4
UNITDSPR,7831200,-156400,-2.0
UNOMINDA,4663450,162800,3.6
UPL,31373670,373980,1.2
VBL,55118250,851700,1.6
VEDL,51484350,365125,0.7
VMM,49707650,324950,0.7
VOLTAS,7125000,-28125,-0.4
WAAREEENER,8249850,137375,1.7
WIPRO,235455000,-9576000,-3.9
YESBANK,1273171800,-3172200,-0.2
ZYDUSLIFE,10169100,226800,2.3
