SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
20MICRONS,EQ,17-Jun-2026,184.4,186.0,187.0,183.27,185.34,95201,176.06,2797,41879.0,43.99,2026-06-17
21STCENMGM,EQ,17-Jun-2026,32.13,32.75,32.77,31.55,32.77,4282,1.39,27,4181.0,97.64,2026-06-17
360ONE,EQ,17-Jun-2026,1133.6,1160.0,1160.0,1127.0,1136.9,382759,4361.75,19096,125708.0,32.84,2026-06-17
3BBLACKBIO,EQ,17-Jun-2026,1258.7,1288.0,1288.0,1193.0,1202.3,11786,143.62,1848,6835.0,57.99,2026-06-17
3IINFOLTD,EQ,17-Jun-2026,17.65,17.74,17.74,17.35,17.51,325702,57.2,777,220333.0,67.65,2026-06-17
3MINDIA,EQ,17-Jun-2026,32300.0,32300.0,33200.0,32175.0,33060.0,3525,1158.14,1909,1456.0,41.3,2026-06-17
3PLAND,EQ,17-Jun-2026,32.19,32.7,33.0,31.02,31.19,2322,0.75,42,2256.0,97.16,2026-06-17
574GS2026,GS,17-Jun-2026,99.7,99.72,99.72,99.72,99.72,2,0.0,1,2.0,100.0,2026-06-17
5PAISA,EQ,17-Jun-2026,325.6,328.0,328.4,321.0,322.65,16036,51.99,1021,10356.0,64.58,2026-06-17
601GS2030,GS,17-Jun-2026,102.0,107.1,107.1,107.1,107.1,1,0.0,1,1.0,100.0,2026-06-17
610GS2031,GS,17-Jun-2026,105.0,100.0,105.0,99.75,100.95,200,0.2,5,200.0,100.0,2026-06-17
633GS2035,GS,17-Jun-2026,102.0,97.0,102.0,97.0,102.0,321,0.31,4,241.0,75.08,2026-06-17
636GS2031,GS,17-Jun-2026,100.0,99.99,99.99,99.99,99.99,50,0.05,1,50.0,100.0,2026-06-17
63MOONS,EQ,17-Jun-2026,668.4,673.0,683.0,662.6,667.8,91692,616.21,3462,45674.0,49.81,2026-06-17
645GS2029,GS,17-Jun-2026,99.75,99.75,99.75,99.75,99.75,100,0.1,1,100.0,100.0,2026-06-17
648GS2035,GS,17-Jun-2026,97.5,97.5,102.0,97.5,102.0,2985,2.94,7,2983.0,99.93,2026-06-17
664GS2027,GS,17-Jun-2026,100.15,100.15,100.15,100.15,100.15,190,0.19,1,190.0,100.0,2026-06-17
668GS2040,GS,17-Jun-2026,97.5,93.0,97.1,93.0,97.1,1900,1.83,14,1900.0,100.0,2026-06-17
