SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026,GS,26-Dec-2025,106.04,104.85,105.0,104.85,104.85,2126,2.23,8,2126.0,100.0,2025-12-26
20MICRONS,EQ,26-Dec-2025,197.85,200.99,237.4,196.61,217.71,10772476,24363.78,87477,993293.0,9.22,2025-12-26
21STCENMGM,EQ,26-Dec-2025,51.71,52.74,52.74,52.74,52.74,883,0.47,20,883.0,100.0,2025-12-26
360ONE,EQ,26-Dec-2025,1196.0,1191.5,1207.1,1172.6,1179.4,223587,2650.65,14036,81618.0,36.5,2025-12-26
3IINFOLTD,EQ,26-Dec-2025,16.87,16.88,16.98,16.69,16.75,262055,43.93,1229,211740.0,80.8,2025-12-26
3MINDIA,EQ,26-Dec-2025,34575.0,34780.0,34910.0,34490.0,34575.0,1658,575.03,1075,714.0,43.06,2025-12-26
3PLAND,EQ,26-Dec-2025,37.03,37.03,37.5,37.03,37.32,2604,0.97,88,2077.0,79.76,2025-12-26
563GS2026,GS,26-Dec-2025,100.69,100.8,100.8,100.8,100.8,142,0.14,1,142.0,100.0,2025-12-26
574GS2026,GS,26-Dec-2025,102.0,99.8,99.8,99.8,99.8,1868,1.86,1,1868.0,100.0,2025-12-26
577GS2030,GS,26-Dec-2025,98.42,98.01,98.01,98.01,98.01,2,0.0,2,2.0,100.0,2025-12-26
5PAISA,EQ,26-Dec-2025,340.7,340.85,346.7,334.0,337.9,141480,480.93,6897,41419.0,29.28,2025-12-26
601GS2030,GS,26-Dec-2025,100.1,99.7,99.77,99.7,99.77,300,0.3,3,200.0,66.67,2025-12-26
622GS2035,GS,26-Dec-2025,96.01,96.24,96.24,96.24,96.24,200,0.19,1,200.0,100.0,2025-12-26
628GS2032,GS,26-Dec-2025,100.5,99.6,99.6,99.6,99.6,600,0.6,2,600.0,100.0,2025-12-26
633GS2035,GS,26-Dec-2025,100.0,99.8,99.8,99.63,99.63,15024,14.97,5,15024.0,100.0,2025-12-26
63MOONS,EQ,26-Dec-2025,745.2,745.2,762.0,728.0,730.8,110105,819.69,5379,44158.0,40.11,2025-12-26
648GS2035,GS,26-Dec-2025,100.16,101.16,101.16,100.26,100.26,20,0.02,2,20.0,100.0,2025-12-26
664GS2035,GS,26-Dec-2025,100.0,100.0,100.0,99.0,99.0,6,0.01,2,6.0,100.0,2025-12-26
667GS2050,GS,26-Dec-2025,92.47,92.73,93.4,92.6,93.25,88333,81.93,9,88333.0,100.0,2025-12-26
668GS2040,GS,26-Dec-2025,101.0,100.0,101.2,100.0,101.2,101,0.1,3,100.0,99.01,2025-12-26
675GS2029,GS,26-Dec-2025,100.6,101.45,101.45,101.45,101.45,1000,1.01,1,1000.0,100.0,2025-12-26
676GS2061,GS,26-Dec-2025,93.67,94.0,94.99,94.0,94.79,5356,5.08,8,5356.0,100.0,2025-12-26
679GS2031,GS,26-Dec-2025,102.06,102.06,102.06,102.06,102.06,20,0.02,1,20.0,100.0,2025-12-26
679GS2034,GS,26-Dec-2025,101.5,100.49,100.5,100.49,100.5,2400,2.41,3,2400.0,100.0,2025-12-26
68GS2060,GS,26-Dec-2025,92.98,93.0,93.0,92.8,92.89,820,0.76,15,820.0,100.0,2025-12-26
690GS2065,GS,26-Dec-2025,95.95,95.0,95.95,95.0,95.83,84725,81.23,65,75725.0,89.38,2025-12-26
695GS2061,GS,26-Dec-2025,93.84,94.49,94.49,94.0,94.1,25846,24.32,33,25844.0,99.99,2025-12-26
698GR2054,GS,26-Dec-2025,93.55,93.75,95.63,93.75,95.63,200,0.19,2,200.0,100.0,2025-12-26
699GS2051,GS,26-Dec-2025,96.79,96.4,97.0,96.4,96.98,26700,25.84,11,26700.0,100.0,2025-12-26
702GS2027,GS,26-Dec-2025,102.3,101.3,102.3,101.3,101.31,4127,4.18,3,4126.0,99.98,2025-12-26
702GS2031,GS,26-Dec-2025,102.44,102.8,102.8,102.8,102.8,990,1.02,2,990.0,100.0,2025-12-26
704GS2029,GS,26-Dec-2025,102.26,101.75,102.6,101.75,102.1,18624,19.02,5,18512.0,99.4,2025-12-26
706GS2028,GS,26-Dec-2025,103.0,103.25,104.19,103.25,104.19,20400,21.07,5,19400.0,95.1,2025-12-26
709GS2054,GS,26-Dec-2025,100.59,100.98,100.98,100.25,100.96,601,0.61,4,601.0,100.0,2025-12-26
709GS2074,GS,26-Dec-2025,96.97,97.2,97.2,97.0,97.04,61040,59.24,29,59028.0,96.7,2025-12-26
710GS2029,GS,26-Dec-2025,103.7,104.0,104.0,104.0,104.0,9000,9.36,1,9000.0,100.0,2025-12-26
717GS2030,GS,26-Dec-2025,104.5,104.65,104.65,104.55,104.55,17500,18.3,3,17500.0,100.0,2025-12-26
718GS2033,GS,26-Dec-2025,104.75,105.0,106.0,105.0,106.0,9101,9.56,3,9100.0,99.99,2025-12-26
718GS2037,GS,26-Dec-2025,105.15,106.15,106.15,105.75,105.95,52517,55.73,9,52517.0,100.0,2025-12-26
719GS2060,GS,26-Dec-2025,96.76,96.76,99.45,96.76,99.4,1886,1.87,6,1886.0,100.0,2025-12-26
71GS2034,GS,26-Dec-2025,103.0,103.45,103.45,103.45,103.45,100,0.1,1,100.0,100.0,2025-12-26
724GS2055,GS,26-Dec-2025,102.09,102.08,102.1,101.65,102.1,26101,26.54,10,25300.0,96.93,2025-12-26
725GS2063,GS,26-Dec-2025,98.95,98.8,99.89,98.76,99.02,167250,165.53,40,167200.0,99.97,2025-12-26
726GS2032,GS,26-Dec-2025,105.8,104.51,105.75,104.51,105.75,1000,1.05,2,500.0,50.0,2025-12-26
727GS2026,GS,26-Dec-2025,101.49,101.2,101.2,101.2,101.2,1000,1.01,1,1000.0,100.0,2025-12-26
734GS2064,GS,26-Dec-2025,101.1,101.1,101.4,100.61,100.77,33844,34.17,41,33819.0,99.93,2025-12-26
736GS2052,GS,26-Dec-2025,101.21,103.0,103.0,102.5,102.75,1800,1.85,2,1800.0,100.0,2025-12-26
737GS2028,GS,26-Dec-2025,105.3,103.51,103.51,103.51,103.51,300,0.31,3,300.0,100.0,2025-12-26
738GS2027,GS,26-Dec-2025,102.6,102.6,103.0,102.4,102.45,87753,89.91,40,73548.0,83.81,2025-12-26
73GS2053,GS,26-Dec-2025,100.51,100.84,100.99,100.3,100.99,3603,3.63,11,3603.0,100.0,2025-12-26
741GS2036,GS,26-Dec-2025,104.17,103.0,104.0,103.0,103.96,17900,18.56,3,17900.0,100.0,2025-12-26
746GS2073,GS,26-Dec-2025,101.49,101.5,101.6,101.5,101.54,5100,5.18,7,5100.0,100.0,2025-12-26
74GS2062,GS,26-Dec-2025,101.49,102.35,102.35,102.35,102.35,2,0.0,1,2.0,100.0,2025-12-26
754GS2036,GS,26-Dec-2025,106.22,106.45,106.45,106.2,106.39,380314,404.45,148,379413.0,99.76,2025-12-26
772GS2055,GS,26-Dec-2025,111.5,110.5,110.5,110.5,110.5,45,0.05,1,45.0,100.0,2025-12-26
824GS2027,GS,26-Dec-2025,107.7,110.39,110.39,104.66,104.66,8,0.01,2,8.0,100.0,2025-12-26
832GS2032,GS,26-Dec-2025,114.0,115.0,115.0,113.85,113.85,2,0.0,2,2.0,100.0,2025-12-26
883GS2041,GS,26-Dec-2025,123.0,129.15,129.15,117.0,117.0,263,0.31,2,263.0,100.0,2025-12-26
92GS2030,GS,26-Dec-2025,113.95,113.95,114.19,113.25,114.19,944,1.08,4,895.0,94.81,2025-12-26
A2ZINFRA,EQ,26-Dec-2025,17.25,17.25,18.0,17.25,17.63,328416,58.18,900,240311.0,73.17,2025-12-26
AAATECH,BE,26-Dec-2025,95.06,95.06,97.2,91.5,92.96,22024,20.74,240,,,2025-12-26
AADHARHFC,EQ,26-Dec-2025,486.9,483.2,491.05,481.0,484.0,320188,1557.62,9796,183459.0,57.3,2025-12-26
AAKAAR,SM,26-Dec-2025,72.5,72.5,72.5,70.0,70.55,14400,10.19,9,11200.0,77.78,2025-12-26
AAKASH,EQ,26-Dec-2025,8.72,8.68,8.84,8.65,8.67,60706,5.3,477,41179.0,67.83,2025-12-26
AARADHYA,ST,26-Dec-2025,124.1,128.0,128.0,117.9,117.9,8400,10.09,7,7200.0,85.71,2025-12-26
AAREYDRUGS,EQ,26-Dec-2025,72.3,71.99,72.39,70.19,70.77,73609,52.24,1045,34576.0,46.97,2025-12-26
AARON,EQ,26-Dec-2025,178.53,178.53,182.09,176.0,176.21,12846,22.8,630,8724.0,67.91,2025-12-26
AARTECH,EQ,26-Dec-2025,50.82,50.82,51.99,48.1,49.14,61113,30.62,1275,34542.0,56.52,2025-12-26
AARTIDRUGS,EQ,26-Dec-2025,422.0,420.05,421.75,414.15,417.3,159084,664.33,8945,78502.0,49.35,2025-12-26
AARTIIND,EQ,26-Dec-2025,379.7,377.85,382.8,375.55,376.4,283089,1071.26,10821,112874.0,39.87,2025-12-26
AARTIPHARM,EQ,26-Dec-2025,759.8,759.0,759.8,740.6,742.5,84197,630.86,9391,40060.0,47.58,2025-12-26
AARTISURF,EQ,26-Dec-2025,396.5,400.55,400.55,391.6,392.4,7549,29.75,971,5504.0,72.91,2025-12-26
AARVI,EQ,26-Dec-2025,128.48,127.07,130.78,127.07,128.4,13149,16.95,525,5150.0,39.17,2025-12-26
AATMAJ,SM,26-Dec-2025,24.9,24.0,24.55,23.7,24.55,6000,1.45,3,6000.0,100.0,2025-12-26
AAVAS,EQ,26-Dec-2025,1511.8,1520.0,1520.0,1475.3,1480.3,99353,1481.97,13088,50592.0,50.92,2025-12-26
ABAN,BE,26-Dec-2025,22.35,21.24,21.24,21.24,21.24,91820,19.5,505,,,2025-12-26
ABB,EQ,26-Dec-2025,5215.0,5215.0,5244.5,5164.5,5183.0,54254,2827.13,11813,23659.0,43.61,2025-12-26
ABBOTINDIA,EQ,26-Dec-2025,28515.0,28515.0,28990.0,28425.0,28905.0,3858,1110.68,2001,1812.0,46.97,2025-12-26
ABCAPITAL,EQ,26-Dec-2025,347.4,348.2,349.95,344.0,348.15,3234018,11215.39,35889,1496329.0,46.27,2025-12-26
ABCOTS,EQ,26-Dec-2025,414.15,415.05,416.95,408.8,410.5,10057,41.67,368,4179.0,41.55,2025-12-26
ABDL,EQ,26-Dec-2025,621.45,618.0,619.3,610.2,613.55,220353,1353.68,10709,116583.0,52.91,2025-12-26
ABFRL,EQ,26-Dec-2025,77.92,77.92,77.93,76.58,76.78,7370156,5662.54,11646,6549107.0,88.86,2025-12-26
ABGSEC,EQ,26-Dec-2025,111.0,111.75,111.79,111.01,111.01,506,0.56,9,256.0,50.59,2025-12-26
ABHAPOWER,SM,26-Dec-2025,35.45,35.8,36.85,35.0,35.8,16000,5.73,9,12800.0,80.0,2025-12-26
ABINFRA,EQ,26-Dec-2025,18.14,18.14,18.39,17.72,17.83,140344,25.23,481,93881.0,66.89,2025-12-26
ABLBL,EQ,26-Dec-2025,123.03,123.03,124.99,121.81,123.08,7372163,9057.89,17452,6598627.0,89.51,2025-12-26
ABMINTLLTD,EQ,26-Dec-2025,42.59,43.44,43.44,41.31,42.79,485,0.21,12,268.0,55.26,2025-12-26
ABREL,EQ,26-Dec-2025,1697.8,1704.5,1715.0,1675.0,1681.6,39912,675.54,6317,18486.0,46.32,2025-12-26
ABSLAMC,EQ,26-Dec-2025,773.7,774.4,780.0,767.3,770.45,79741,614.6,8220,47363.0,59.4,2025-12-26
ABSLBANETF,EQ,26-Dec-2025,60.41,60.72,60.72,60.15,60.23,55333,33.36,283,41521.0,75.04,2025-12-26
ABSLLIQUID,EQ,26-Dec-2025,1000.0,1000.0,1000.01,999.99,1000.01,1856,18.56,11,1326.0,71.44,2025-12-26
ABSLNN50ET,EQ,26-Dec-2025,72.38,71.79,72.76,71.78,72.27,9407,6.8,258,6060.0,64.42,2025-12-26
ABSLPSE,EQ,26-Dec-2025,10.01,10.06,10.1,10.01,10.06,330250,33.27,601,250347.0,75.81,2025-12-26
ABSMARINE,SM,26-Dec-2025,199.6,199.15,203.0,195.15,196.7,32500,64.76,64,20000.0,61.54,2025-12-26
ACC,EQ,26-Dec-2025,1739.4,1744.2,1752.0,1725.0,1735.3,358878,6225.51,14551,242888.0,67.68,2025-12-26
ACCELYA,EQ,26-Dec-2025,1299.0,1309.0,1313.8,1290.1,1303.7,19383,252.11,1780,14100.0,72.74,2025-12-26
ACCENTMIC,SM,26-Dec-2025,331.05,334.0,334.0,317.25,318.75,26000,84.62,51,22000.0,84.62,2025-12-26
ACCORD,SM,26-Dec-2025,29.0,29.0,29.0,29.0,29.0,2000,0.58,1,2000.0,100.0,2025-12-26
ACCPL,ST,26-Dec-2025,88.0,91.95,91.95,88.05,88.05,10800,9.68,9,10800.0,100.0,2025-12-26
ACCURACY,EQ,26-Dec-2025,5.85,5.85,6.0,5.72,5.81,68473,4.0,508,57499.0,83.97,2025-12-26
ACE,EQ,26-Dec-2025,960.7,960.6,960.7,948.1,951.2,92012,877.33,8692,47345.0,51.46,2025-12-26
ACEINTEG,EQ,26-Dec-2025,22.01,22.27,22.28,21.52,21.66,171,0.04,31,89.0,52.05,2025-12-26
ACI,EQ,26-Dec-2025,523.7,523.6,543.9,519.0,528.7,202376,1075.21,12565,63850.0,31.55,2025-12-26
ACL,EQ,26-Dec-2025,69.72,69.72,69.72,66.7,68.9,10092,6.92,213,8259.0,81.84,2025-12-26
ACMESOLAR,EQ,26-Dec-2025,237.06,237.2,238.17,230.85,231.12,906367,2119.44,14056,614200.0,67.77,2025-12-26
ACTIVEINFR,SM,26-Dec-2025,173.0,176.0,176.0,174.0,174.0,13200,22.98,22,13200.0,100.0,2025-12-26
ACUTAAS,EQ,26-Dec-2025,1653.3,1662.9,1667.9,1625.0,1652.9,248543,4076.53,18804,134982.0,54.31,2025-12-26
ADANIENSOL,EQ,26-Dec-2025,996.55,996.1,1020.4,991.1,1015.3,894166,9065.28,28918,356543.0,39.87,2025-12-26
ADANIENT,EQ,26-Dec-2025,2222.7,2229.3,2250.9,2218.0,2229.9,566237,12657.71,24388,150706.0,26.62,2025-12-26
ADANIGREEN,EQ,26-Dec-2025,1015.0,1015.0,1027.0,1011.5,1018.1,834022,8515.11,20807,262884.0,31.52,2025-12-26
ADANIPORTS,EQ,26-Dec-2025,1494.3,1499.6,1501.4,1485.0,1487.1,876540,13079.53,33853,416784.0,47.55,2025-12-26
ADANIPOWER,EQ,26-Dec-2025,143.16,143.15,144.37,141.9,142.19,7682604,10981.05,59160,3154313.0,41.06,2025-12-26
ADDICTIVE,SM,26-Dec-2025,125.5,120.25,122.05,120.25,121.35,12000,14.61,17,10500.0,87.5,2025-12-26
ADFFOODS,EQ,26-Dec-2025,208.03,206.1,209.98,206.1,207.77,29133,60.6,887,16148.0,55.43,2025-12-26
ADL,EQ,26-Dec-2025,79.94,78.5,81.64,78.3,80.94,6867,5.53,144,1568.0,22.83,2025-12-26
ADOR,EQ,26-Dec-2025,1029.8,1020.4,1044.4,1020.4,1032.9,7814,80.83,782,4930.0,63.09,2025-12-26
ADROITINFO,EQ,26-Dec-2025,10.58,10.21,10.31,9.17,10.12,152102,14.99,620,95046.0,62.49,2025-12-26
ADSL,EQ,26-Dec-2025,156.13,156.13,156.32,153.81,154.88,81862,127.08,1789,43484.0,53.12,2025-12-26
ADVANCE,EQ,26-Dec-2025,125.07,125.0,125.49,122.51,123.32,180816,224.04,2235,78697.0,43.52,2025-12-26
ADVANIHOTR,EQ,26-Dec-2025,57.12,58.0,58.98,57.99,58.57,73303,42.84,1371,50264.0,68.57,2025-12-26
ADVENTHTL,EQ,26-Dec-2025,241.4,243.8,246.79,229.25,233.1,193375,458.64,4994,96877.0,50.1,2025-12-26
ADVENZYMES,EQ,26-Dec-2025,307.65,309.8,309.8,295.0,295.8,254471,761.4,5940,187736.0,73.78,2025-12-26
AEGISLOG,EQ,26-Dec-2025,725.95,725.5,731.0,720.05,720.8,118069,854.37,7695,55855.0,47.31,2025-12-26
AEGISVOPAK,EQ,26-Dec-2025,247.2,247.2,250.8,240.9,248.0,576207,1411.5,17121,246563.0,42.79,2025-12-26
AEQUS,EQ,26-Dec-2025,139.63,140.01,143.3,138.75,139.37,2688919,3777.53,20693,492193.0,18.3,2025-12-26
AEROENTER,EQ,26-Dec-2025,90.81,90.75,92.5,89.01,89.41,174775,158.29,3496,80542.0,46.08,2025-12-26
AEROFLEX,EQ,26-Dec-2025,205.72,206.0,209.35,199.74,201.07,957131,1958.03,13751,332903.0,34.78,2025-12-26
AERON,SM,26-Dec-2025,100.55,99.5,102.9,99.5,102.0,8000,8.08,8,5000.0,62.5,2025-12-26
AERONEU,EQ,26-Dec-2025,77.36,80.89,80.89,75.55,75.96,15073,11.69,379,2790.0,18.51,2025-12-26
AESTHETIK,SM,26-Dec-2025,90.0,92.4,92.4,90.95,90.95,5000,4.56,5,5000.0,100.0,2025-12-26
AETHER,EQ,26-Dec-2025,837.05,832.0,851.5,832.0,846.65,92638,781.99,5929,48997.0,52.89,2025-12-26
AFCONS,EQ,26-Dec-2025,387.65,387.5,391.25,386.5,389.95,212976,830.45,7180,116458.0,54.68,2025-12-26
AFFLE,EQ,26-Dec-2025,1780.6,1776.0,1786.2,1748.0,1781.9,120863,2138.67,14905,66817.0,55.28,2025-12-26
AFFORDABLE,EQ,26-Dec-2025,210.33,211.6,211.6,206.8,207.89,11003,22.88,694,7350.0,66.8,2025-12-26
AFIL,EQ,26-Dec-2025,6.75,6.85,6.85,6.7,6.76,475659,32.1,1358,284684.0,59.85,2025-12-26
AFSL,EQ,26-Dec-2025,202.37,201.21,204.5,201.21,201.86,1602,3.24,116,825.0,51.5,2025-12-26
AGARIND,EQ,26-Dec-2025,754.2,753.7,753.7,728.05,732.35,10172,74.8,961,6020.0,59.18,2025-12-26
AGARWALEYE,EQ,26-Dec-2025,506.1,503.55,509.7,502.0,503.7,38004,192.02,2941,14011.0,36.87,2025-12-26
AGARWALFT,SM,26-Dec-2025,39.25,38.5,38.5,38.5,38.5,1500,0.58,1,1500.0,100.0,2025-12-26
AGARWALTUF,SM,26-Dec-2025,121.25,120.9,120.95,118.85,119.65,20400,24.43,17,14400.0,70.59,2025-12-26
AGI,EQ,26-Dec-2025,738.0,738.0,744.4,733.1,737.85,17552,129.63,1539,10581.0,60.28,2025-12-26
AGIIL,EQ,26-Dec-2025,253.7,256.6,257.75,250.0,251.4,456349,1153.3,6096,156995.0,34.4,2025-12-26
AGNI,SM,26-Dec-2025,24.15,24.15,24.25,24.0,24.0,15000,3.62,3,12500.0,83.33,2025-12-26
AGRITECH,BE,26-Dec-2025,162.58,162.58,163.0,156.5,160.47,8829,14.2,141,,,2025-12-26
AGROPHOS,EQ,26-Dec-2025,39.83,39.99,40.0,39.01,39.18,23832,9.37,277,17257.0,72.41,2025-12-26
AGSTRA,BZ,26-Dec-2025,4.11,4.15,4.31,4.15,4.25,215749,9.16,435,,,2025-12-26
AHCL,BE,26-Dec-2025,139.79,142.0,146.77,138.5,145.38,350297,498.26,721,,,2025-12-26
AHLADA,EQ,26-Dec-2025,50.49,51.29,51.29,50.03,50.06,4043,2.04,78,3246.0,80.29,2025-12-26
AHLEAST,EQ,26-Dec-2025,135.83,132.2,135.0,132.2,132.97,3232,4.32,81,2175.0,67.3,2025-12-26
AHLUCONT,EQ,26-Dec-2025,974.7,974.0,1012.55,972.25,1007.1,108039,1076.9,10655,52633.0,48.72,2025-12-26
AIAENG,EQ,26-Dec-2025,3941.9,3941.9,3954.3,3870.7,3884.3,32466,1268.89,8552,14270.0,43.95,2025-12-26
AIIL,EQ,26-Dec-2025,2921.8,2915.0,2949.9,2870.0,2883.3,41485,1204.49,6455,17164.0,41.37,2025-12-26
AIMTRON,ST,26-Dec-2025,820.85,820.0,824.95,810.5,819.7,19400,158.27,66,14600.0,75.26,2025-12-26
AIRAN,EQ,26-Dec-2025,18.17,18.53,18.56,18.03,18.12,55262,10.07,501,32135.0,58.15,2025-12-26
AIROLAM,EQ,26-Dec-2025,103.55,103.55,104.5,101.07,101.22,4457,4.56,100,3610.0,81.0,2025-12-26
AIRTELPP,E1,26-Dec-2025,1703.5,1703.5,1717.0,1683.0,1690.05,439370,7426.68,5576,404928.0,92.16,2025-12-26
AISL,SM,26-Dec-2025,83.95,79.8,79.8,79.8,79.8,600,0.48,1,600.0,100.0,2025-12-26
AJANTPHARM,EQ,26-Dec-2025,2734.5,2732.0,2732.0,2671.2,2681.6,50418,1361.79,8738,18273.0,36.24,2025-12-26
AJAXENGG,EQ,26-Dec-2025,597.45,595.5,599.55,589.55,591.55,30526,181.23,2760,19065.0,62.45,2025-12-26
AJMERA,EQ,26-Dec-2025,944.5,944.5,977.7,942.5,965.0,34535,333.66,2931,17494.0,50.66,2025-12-26
AJOONI,EQ,26-Dec-2025,4.47,4.47,4.52,4.38,4.42,204269,9.07,534,111932.0,54.8,2025-12-26
AKANKSHA,SM,26-Dec-2025,72.0,72.0,72.0,70.05,70.1,3000,2.12,3,3000.0,100.0,2025-12-26
AKASH,EQ,26-Dec-2025,25.65,25.99,25.99,25.32,25.41,3236,0.83,51,1135.0,35.07,2025-12-26
AKG,EQ,26-Dec-2025,12.52,12.65,12.68,12.3,12.57,36318,4.59,111,26940.0,74.18,2025-12-26
AKI,EQ,26-Dec-2025,7.06,7.48,7.48,6.84,6.95,60484,4.21,325,40236.0,66.52,2025-12-26
AKIKO,ST,26-Dec-2025,259.0,260.0,260.0,258.5,258.8,4800,12.43,4,4800.0,100.0,2025-12-26
AKSHAR,EQ,26-Dec-2025,0.52,0.52,0.53,0.52,0.52,673297,3.54,444,396480.0,58.89,2025-12-26
AKSHARCHEM,EQ,26-Dec-2025,246.35,245.3,252.95,241.2,246.3,7115,17.52,648,3236.0,45.48,2025-12-26
AKSHOPTFBR,EQ,26-Dec-2025,6.55,6.55,6.9,6.48,6.53,163605,10.86,624,121070.0,74.0,2025-12-26
AKUMS,EQ,26-Dec-2025,446.3,449.9,450.0,442.05,446.4,115119,512.64,4054,51985.0,45.16,2025-12-26
AKZOINDIA,EQ,26-Dec-2025,3136.0,3149.0,3152.1,3120.0,3123.8,28461,892.86,4263,16087.0,56.52,2025-12-26
ALANKIT,EQ,26-Dec-2025,10.91,11.15,11.2,10.8,10.86,224736,24.75,1048,153049.0,68.1,2025-12-26
ALBERTDAVD,EQ,26-Dec-2025,748.8,752.35,754.45,741.2,744.95,1956,14.59,210,1201.0,61.4,2025-12-26
ALCODIS,SM,26-Dec-2025,96.95,96.9,99.2,96.1,99.2,4375,4.26,7,3750.0,85.71,2025-12-26
ALEMBICLTD,EQ,26-Dec-2025,101.11,100.4,102.0,100.26,100.85,151834,153.59,1646,84327.0,55.54,2025-12-26
ALICON,EQ,26-Dec-2025,830.35,826.2,863.0,826.2,841.9,3988,33.41,562,2011.0,50.43,2025-12-26
ALIVUS,EQ,26-Dec-2025,904.65,911.5,911.5,896.25,907.2,24453,221.63,2702,15867.0,64.89,2025-12-26
ALKALI,EQ,26-Dec-2025,78.7,79.8,80.99,78.0,79.81,2746,2.17,115,1813.0,66.02,2025-12-26
ALKEM,EQ,26-Dec-2025,5566.0,5539.0,5581.0,5508.0,5535.0,40414,2234.64,6813,20774.0,51.4,2025-12-26
ALKYLAMINE,EQ,26-Dec-2025,1603.4,1605.0,1605.0,1580.0,1581.2,28223,448.18,4212,17585.0,62.31,2025-12-26
ALLCARGO,EQ,26-Dec-2025,10.79,10.79,10.84,10.65,10.69,3274909,351.57,7441,2255871.0,68.88,2025-12-26
ALLDIGI,EQ,26-Dec-2025,820.0,815.0,832.4,815.0,820.9,3357,27.72,385,2461.0,73.31,2025-12-26
ALLETEC,SM,26-Dec-2025,219.05,214.1,220.0,208.4,217.35,16400,35.27,40,9600.0,58.54,2025-12-26
ALLTIME,EQ,26-Dec-2025,266.55,266.45,267.95,260.0,262.45,46072,121.62,1376,30733.0,66.71,2025-12-26
ALMONDZ,EQ,26-Dec-2025,17.4,17.94,17.94,16.8,16.99,56923,9.76,581,36722.0,64.51,2025-12-26
ALOKINDS,EQ,26-Dec-2025,16.58,16.55,16.55,16.21,16.28,2995405,489.66,8799,1508616.0,50.36,2025-12-26
ALPA,EQ,26-Dec-2025,78.37,76.01,78.0,76.0,76.36,11926,9.17,511,9121.0,76.48,2025-12-26
ALPEXSOLAR,SM,26-Dec-2025,819.5,824.0,824.0,807.0,813.7,46100,375.69,292,30900.0,67.03,2025-12-26
ALPHA,EQ,26-Dec-2025,48.81,48.8,49.09,48.45,48.52,579226,282.45,3393,339354.0,58.59,2025-12-26
ALPHAETF,EQ,26-Dec-2025,25.12,25.12,25.26,24.94,24.97,369657,92.5,1395,217405.0,58.81,2025-12-26
ALPHAGEO,EQ,26-Dec-2025,224.74,224.85,230.4,224.85,229.22,4839,11.03,234,3024.0,62.49,2025-12-26
ALPL30IETF,EQ,26-Dec-2025,28.02,28.02,28.14,27.87,27.92,145308,40.6,1574,98600.0,67.86,2025-12-26
ALPSINDUS,BE,26-Dec-2025,3.77,3.7,3.7,3.7,3.7,9354,0.35,73,,,2025-12-26
ALUWIND,SM,26-Dec-2025,70.0,70.5,70.5,70.5,70.5,3000,2.12,2,3000.0,100.0,2025-12-26
AMANTA,EQ,26-Dec-2025,111.96,111.88,112.0,105.1,106.78,102181,110.59,1511,64807.0,63.42,2025-12-26
AMBER,EQ,26-Dec-2025,6660.0,6689.0,6733.0,6618.0,6652.0,90381,6029.74,12623,25766.0,28.51,2025-12-26
AMBEY,SM,26-Dec-2025,42.0,41.0,41.0,40.45,40.6,10000,4.06,3,8000.0,80.0,2025-12-26
AMBICAAGAR,EQ,26-Dec-2025,25.42,25.3,25.8,24.77,25.42,2058,0.52,32,1954.0,94.95,2025-12-26
AMBIKCO,EQ,26-Dec-2025,1268.2,1269.0,1277.9,1257.2,1274.9,2656,33.69,584,1586.0,59.71,2025-12-26
AMBUJACEM,EQ,26-Dec-2025,548.1,549.9,555.0,548.2,554.65,1919198,10616.96,25272,1145108.0,59.67,2025-12-26
AMCL,ST,26-Dec-2025,370.0,385.0,385.0,361.0,362.9,8000,29.49,9,8000.0,100.0,2025-12-26
