SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026,GS,12-Mar-2026,104.52,104.52,104.52,101.2,102.0,4737,4.84,18,3757.0,79.31,2026-03-12
20MICRONS,EQ,12-Mar-2026,166.61,164.1,166.25,161.72,163.09,102669,168.18,2478,52980.0,51.6,2026-03-12
21STCENMGM,EQ,12-Mar-2026,33.94,34.26,34.61,33.31,33.64,1484,0.5,40,1329.0,89.56,2026-03-12
360ONE,EQ,12-Mar-2026,1048.1,1040.0,1049.1,1017.3,1043.4,934229,9688.92,29095,489037.0,52.35,2026-03-12
3IINFOLTD,EQ,12-Mar-2026,13.24,13.3,13.35,13.1,13.14,606858,80.11,1083,493623.0,81.34,2026-03-12
3MINDIA,EQ,12-Mar-2026,33720.0,33720.0,35175.0,33045.0,34305.0,8868,3033.86,3554,4402.0,49.64,2026-03-12
3PLAND,EQ,12-Mar-2026,31.36,31.18,32.0,30.4,31.22,1006,0.32,71,823.0,81.81,2026-03-12
563GS2026,GS,12-Mar-2026,102.17,102.2,102.2,102.19,102.19,850,0.87,3,850.0,100.0,2026-03-12
574GS2026,GS,12-Mar-2026,101.18,101.5,101.5,101.5,101.5,300,0.3,1,300.0,100.0,2026-03-12
591GS2028,GS,12-Mar-2026,101.85,100.06,100.06,100.06,100.06,100,0.1,1,100.0,100.0,2026-03-12
5PAISA,EQ,12-Mar-2026,304.0,309.0,310.15,297.05,301.8,45409,137.04,1672,17457.0,38.44,2026-03-12
601GS2030,GS,12-Mar-2026,99.89,98.36,99.8,98.36,98.36,1300,1.28,4,1300.0,100.0,2026-03-12
610GS2031,GS,12-Mar-2026,100.0,99.8,99.8,97.8,99.0,944,0.94,3,922.0,97.67,2026-03-12
619GS2034,GS,12-Mar-2026,99.5,98.51,98.7,98.51,98.7,200,0.2,4,150.0,75.0,2026-03-12
