SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026,GS,15-Apr-2026,103.05,105.62,105.62,103.24,103.62,1123,1.16,8,1121.0,99.82,2026-04-15
20MICRONS,EQ,15-Apr-2026,160.39,164.0,170.0,161.7,168.64,126635,210.92,2708,70419.0,55.61,2026-04-15
21STCENMGM,EQ,15-Apr-2026,30.55,31.0,31.16,30.54,31.16,10822,3.36,56,10820.0,99.98,2026-04-15
360ONE,EQ,15-Apr-2026,1009.5,1026.95,1065.8,1020.25,1056.0,1795093,18870.85,39175,1050800.0,58.54,2026-04-15
3IINFOLTD,EQ,15-Apr-2026,16.06,16.49,16.98,16.29,16.9,1161427,194.47,2512,782651.0,67.39,2026-04-15
3MINDIA,EQ,15-Apr-2026,31255.0,32000.0,32000.0,31390.0,31440.0,2554,805.85,1238,1412.0,55.29,2026-04-15
3PLAND,EQ,15-Apr-2026,35.59,35.2,36.4,35.0,36.29,3422,1.23,119,3090.0,90.3,2026-04-15
591GS2028,GS,15-Apr-2026,100.0,98.51,99.01,98.51,99.0,200,0.2,3,200.0,100.0,2026-04-15
5PAISA,EQ,15-Apr-2026,300.85,301.86,318.89,301.86,314.57,84311,263.06,1763,43023.0,51.03,2026-04-15
601GS2030,GS,15-Apr-2026,98.51,98.51,98.51,98.51,98.51,100,0.1,1,100.0,100.0,2026-04-15
610GS2031,GS,15-Apr-2026,99.0,99.0,99.75,99.0,99.3,7499,7.45,2,7499.0,100.0,2026-04-15
628GS2032,GS,15-Apr-2026,101.0,95.96,97.0,95.96,96.75,350,0.34,6,200.0,57.14,2026-04-15
636GS2031,GS,15-Apr-2026,100.0,99.9,99.9,97.1,97.1,104,0.1,4,102.0,98.08,2026-04-15
63MOONS,EQ,15-Apr-2026,568.7,581.0,618.1,581.0,615.15,364193,2192.92,12157,126602.0,34.76,2026-04-15
645GS2029,GS,15-Apr-2026,98.0,98.0,98.0,98.0,98.0,2,0.0,1,2.0,100.0,2026-04-15
