SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
20MICRONS,EQ,02-Jul-2026,199.35,201.74,203.0,198.4,201.78,108892,218.39,2559,48698.0,44.72,2026-07-02
21STCENMGM,EQ,02-Jul-2026,32.27,32.28,32.69,31.63,31.75,4582,1.45,39,4269.0,93.17,2026-07-02
360ONE,EQ,02-Jul-2026,1065.9,1075.0,1081.6,1060.6,1070.0,905046,9681.86,41611,485053.0,53.59,2026-07-02
3BBLACKBIO,EQ,02-Jul-2026,1201.1,1191.5,1215.0,1186.2,1205.8,2293,27.55,367,1360.0,59.31,2026-07-02
3IINFOLTD,EQ,02-Jul-2026,17.17,17.0,17.87,17.0,17.41,347711,60.68,998,196387.0,56.48,2026-07-02
3MINDIA,EQ,02-Jul-2026,33435.0,33500.0,34150.0,33320.0,33960.0,2869,968.22,1651,1413.0,49.25,2026-07-02
3PLAND,EQ,02-Jul-2026,31.97,33.35,33.35,31.63,32.67,3074,1.01,68,2377.0,77.33,2026-07-02
5PAISA,EQ,02-Jul-2026,363.45,363.5,394.0,363.5,385.3,327646,1257.14,10390,107619.0,32.85,2026-07-02
610GS2031,GS,02-Jul-2026,99.0,103.95,103.95,103.95,103.95,1,0.0,1,1.0,100.0,2026-07-02
63MOONS,EQ,02-Jul-2026,664.7,667.9,675.0,654.0,661.5,101251,671.56,3837,50076.0,49.46,2026-07-02
645GS2029,GS,02-Jul-2026,100.06,100.26,100.26,100.25,100.25,3800,3.81,4,3800.0,100.0,2026-07-02
648GS2035,GS,02-Jul-2026,99.96,97.96,98.9,97.96,98.64,3176,3.13,8,2675.0,84.23,2026-07-02
667GS2050,GS,02-Jul-2026,93.0,94.2,94.25,94.2,94.25,5000,4.71,4,5000.0,100.0,2026-07-02
668GS2040,GS,02-Jul-2026,100.79,100.0,100.89,100.0,100.89,3178,3.18,5,3171.0,99.78,2026-07-02
676GS2061,GS,02-Jul-2026,94.06,94.4,94.4,93.61,94.4,1237,1.16,6,1237.0,100.0,2026-07-02
679GS2031,GS,02-Jul-2026,100.5,101.4,101.4,101.4,101.4,1650,1.67,1,1650.0,100.0,2026-07-02
679GS2034,GS,02-Jul-2026,101.0,100.55,100.55,100.5,100.5,1100,1.11,5,1100.0,100.0,2026-07-02
68GS2060,GS,02-Jul-2026,93.95,94.35,94.35,94.05,94.05,303,0.29,3,303.0,100.0,2026-07-02
690GS2065,GS,02-Jul-2026,94.48,95.19,95.19,94.5,95.1,12353,11.72,19,11352.0,91.9,2026-07-02
694GS2036,GS,02-Jul-2026,102.0,102.0,102.0,101.5,101.5,501,0.51,3,501.0,100.0,2026-07-02
695GS2061,GS,02-Jul-2026,94.95,94.95,94.95,94.95,94.95,316,0.3,3,316.0,100.0,2026-07-02
699GS2051,GS,02-Jul-2026,95.65,97.84,97.9,96.51,96.51,1406,1.37,16,1406.0,100.0,2026-07-02
704GS2029,GS,02-Jul-2026,100.76,101.75,102.8,101.15,102.8,22700,23.02,6,10000.0,44.05,2026-07-02
706GS2028,GS,02-Jul-2026,102.6,102.48,102.8,102.48,102.75,4699,4.82,8,2400.0,51.07,2026-07-02
709GS2054,GS,02-Jul-2026,99.38,99.6,100.0,99.41,99.99,37715,37.6,24,21642.0,57.38,2026-07-02
709GS2074,GS,02-Jul-2026,95.71,96.25,96.41,95.92,96.27,40253,38.67,37,34141.0,84.82,2026-07-02
710GS2029,GS,02-Jul-2026,103.08,102.86,103.75,102.86,103.75,1100,1.14,2,1000.0,90.91,2026-07-02
717GS2028,GS,02-Jul-2026,104.6,103.86,104.5,103.86,104.08,295,0.31,3,220.0,74.58,2026-07-02
717GS2030,GS,02-Jul-2026,103.7,103.5,103.5,103.0,103.0,373,0.38,4,373.0,100.0,2026-07-02
718GS2037,GS,02-Jul-2026,104.6,104.25,105.0,104.25,105.0,24500,25.72,5,24500.0,100.0,2026-07-02
71GS2034,GS,02-Jul-2026,102.0,102.11,103.95,102.11,103.95,17000,17.36,5,17000.0,100.0,2026-07-02
723GS2039,GS,02-Jul-2026,105.5,105.0,105.0,105.0,105.0,7671,8.05,25,7671.0,100.0,2026-07-02
724GS2055,GS,02-Jul-2026,101.61,101.61,102.0,101.61,101.76,18215,18.54,23,18215.0,100.0,2026-07-02
725GS2063,GS,02-Jul-2026,98.05,98.1,98.75,98.1,98.59,77145,75.9,54,76145.0,98.7,2026-07-02
726GS2032,GS,02-Jul-2026,106.0,106.0,106.15,106.0,106.15,16962,17.98,4,16075.0,94.77,2026-07-02
726GS2033,GS,02-Jul-2026,104.5,104.9,105.1,104.9,105.1,770,0.81,3,760.0,98.7,2026-07-02
733GS2026,GS,02-Jul-2026,101.07,98.54,101.5,98.54,101.21,446,0.45,7,323.0,72.42,2026-07-02
