SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026,GS,08-Sep-2026,104.97,104.5,105.05,104.5,104.99,2520,2.64,5,1918.0,76.11,2026-09-08
20MICRONS,EQ,08-Sep-2026,224.8,226.0,227.23,218.79,219.28,108144,238.71,3432,51376.0,47.51,2026-09-08
21STCENMGM,EQ,08-Sep-2026,38.28,38.7,39.04,38.29,38.59,4103,1.6,57,3690.0,89.93,2026-09-08
360ONE,EQ,08-Sep-2026,1136.9,1125.0,1128.2,1104.3,1110.0,1123388,12487.15,71122,646866.0,57.58,2026-09-08
3BBLACKBIO,EQ,08-Sep-2026,1521.3,1563.0,1569.5,1428.1,1455.3,26241,386.84,3219,12891.0,49.13,2026-09-08
3IINFOLTD,BE,08-Sep-2026,22.07,22.7,22.7,22.1,22.32,189516,42.62,526,,,2026-09-08
3MINDIA,EQ,08-Sep-2026,32840.0,32840.0,33330.0,32620.0,33145.0,2158,714.38,1577,993.0,46.01,2026-09-08
3PLAND,EQ,08-Sep-2026,32.15,32.15,32.5,31.8,32.4,3698,1.19,39,3642.0,98.49,2026-09-08
574GS2026,GS,08-Sep-2026,101.21,101.95,101.95,101.95,101.95,61,0.06,2,61.0,100.0,2026-09-08
585GS2030,GS,08-Sep-2026,98.5,97.55,97.55,97.55,97.55,11,0.01,2,11.0,100.0,2026-09-08
5PAISA,EQ,08-Sep-2026,339.85,337.0,342.0,335.0,337.4,16944,57.19,1176,8713.0,51.42,2026-09-08
603GS2029,GS,08-Sep-2026,100.25,100.1,100.1,100.1,100.1,4995,5.0,2,4995.0,100.0,2026-09-08
610GS2031,GS,08-Sep-2026,99.99,96.86,99.99,96.86,99.99,565,0.56,4,500.0,88.5,2026-09-08
620GS2029,GS,08-Sep-2026,100.2,98.8,99.0,98.56,99.0,300,0.3,4,300.0,100.0,2026-09-08
633GS2035,GS,08-Sep-2026,99.3,99.3,99.3,97.38,99.3,1112,1.1,5,1112.0,100.0,2026-09-08
636GS2031,GS,08-Sep-2026,100.49,98.55,99.5,98.55,99.5,2500,2.49,8,2500.0,100.0,2026-09-08
63MOONS,EQ,08-Sep-2026,872.7,881.4,899.4,860.2,868.25,536543,4702.11,22096,243185.0,45.32,2026-09-08
648GS2035,GS,08-Sep-2026,100.0,98.6,98.6,98.6,98.6,100,0.1,1,100.0,100.0,2026-09-08
654GS2032,GS,08-Sep-2026,100.35,100.3,100.3,100.3,100.3,308,0.31,1,308.0,100.0,2026-09-08
657GS2033A,GS,08-Sep-2026,97.81,99.75,99.75,99.75,99.75,22,0.02,1,22.0,100.0,2026-09-08
667GS2035,GS,08-Sep-2026,98.81,100.0,100.0,100.0,100.0,100,0.1,2,100.0,100.0,2026-09-08
667GS2050,GS,08-Sep-2026,93.2,92.6,92.6,92.6,92.6,502,0.46,2,502.0,100.0,2026-09-08
668GS2033,GS,08-Sep-2026,99.0,99.0,99.0,99.0,99.0,100,0.1,1,100.0,100.0,2026-09-08
668GS2040,GS,08-Sep-2026,97.8,97.75,97.75,97.7,97.7,200,0.2,2,200.0,100.0,2026-09-08
