SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
20MICRONS,EQ,28-Jul-2025,268.56,267.02,267.02,233.6,239.47,585661,1461.11,12559,222673.0,38.02,2025-07-28
21STCENMGM,EQ,28-Jul-2025,60.18,60.18,61.35,59.1,60.33,14634,8.88,207,7539.0,51.52,2025-07-28
360ONE,EQ,28-Jul-2025,1077.9,1072.0,1081.0,1065.0,1074.6,1105938,11873.36,45466,680518.0,61.53,2025-07-28
3IINFOLTD,EQ,28-Jul-2025,23.62,23.61,23.95,23.15,23.35,408863,95.82,1704,221917.0,54.28,2025-07-28
3MINDIA,EQ,28-Jul-2025,31230.0,31230.0,31800.0,30705.0,30950.0,6406,2006.71,2949,3217.0,50.22,2025-07-28
3PLAND,EQ,28-Jul-2025,46.89,46.15,47.45,45.16,45.5,10812,4.96,243,7197.0,66.56,2025-07-28
574GS2026,GS,28-Jul-2025,101.25,99.5,99.5,99.43,99.5,304,0.3,4,304.0,100.0,2025-07-28
577GS2030,GS,28-Jul-2025,100.95,101.5,101.5,101.5,101.5,2,0.0,2,2.0,100.0,2025-07-28
5PAISA,EQ,28-Jul-2025,383.9,383.9,384.75,373.05,376.35,29275,110.81,2003,13509.0,46.15,2025-07-28
601GS2030,GS,28-Jul-2025,99.1,99.1,99.1,99.1,99.1,100,0.1,1,100.0,100.0,2025-07-28
63MOONS,EQ,28-Jul-2025,1043.2,1056.9,1056.9,997.1,1005.0,181539,1849.78,7729,95678.0,52.7,2025-07-28
654GS2032,GS,28-Jul-2025,102.5,102.0,102.0,102.0,102.0,420,0.43,3,420.0,100.0,2025-07-28
667GS2050,GS,28-Jul-2025,98.7,98.7,98.7,98.5,98.5,1830,1.8,3,1830.0,100.0,2025-07-28
675GS2029,GS,28-Jul-2025,107.0,108.0,108.0,108.0,108.0,1,0.0,1,1.0,100.0,2025-07-28
676GS2061,GS,28-Jul-2025,100.8,100.0,100.0,100.0,100.0,1,0.0,1,1.0,100.0,2025-07-28
68GS2060,GS,28-Jul-2025,98.0,98.0,98.0,98.0,98.0,870,0.85,3,870.0,100.0,2025-07-28
692GS2039,GS,28-Jul-2025,104.0,103.5,103.5,103.5,103.5,500,0.52,1,500.0,100.0,2025-07-28
695GS2061,GS,28-Jul-2025,99.21,98.5,99.21,98.5,98.64,6700,6.62,11,5700.0,85.07,2025-07-28
699GS2026,GS,28-Jul-2025,102.3,102.3,102.31,102.3,102.31,2,0.0,2,1.0,50.0,2025-07-28
699GS2051,GS,28-Jul-2025,101.4,100.1,100.7,100.1,100.11,3695,3.7,9,3695.0,100.0,2025-07-28
702GS2027,GS,28-Jul-2025,102.31,102.46,102.46,102.46,102.46,465,0.48,2,465.0,100.0,2025-07-28
702GS2031,GS,28-Jul-2025,104.5,103.8,103.8,103.8,103.8,201,0.21,2,201.0,100.0,2025-07-28
706GS2028,GS,28-Jul-2025,104.6,104.11,104.5,104.11,104.5,21002,21.95,5,21001.0,100.0,2025-07-28
709GS2054,GS,28-Jul-2025,104.11,104.1,104.1,104.0,104.1,17212,17.91,16,17212.0,100.0,2025-07-28
709GS2074,GS,28-Jul-2025,101.27,101.27,101.5,101.27,101.35,18750,19.03,11,18750.0,100.0,2025-07-28
710GS2029,GS,28-Jul-2025,105.8,105.35,105.7,105.35,105.35,1100,1.16,4,1100.0,100.0,2025-07-28
716GS2050,GS,28-Jul-2025,103.75,104.0,104.0,104.0,104.0,382,0.4,1,382.0,100.0,2025-07-28
717GS2030,GS,28-Jul-2025,105.5,106.49,106.49,106.49,106.49,450,0.48,1,450.0,100.0,2025-07-28
718GS2033,GS,28-Jul-2025,107.0,107.5,107.75,107.5,107.75,15000,16.14,2,15000.0,100.0,2025-07-28
