SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026,GS,07-Aug-2026,104.01,104.53,104.53,104.53,104.53,2,0.0,2,2.0,100.0,2026-08-07
20MICRONS,EQ,07-Aug-2026,191.71,191.71,193.59,187.9,189.07,126589,241.41,2798,73242.0,57.86,2026-08-07
21STCENMGM,EQ,07-Aug-2026,43.3,44.0,44.0,43.07,43.58,7409,3.24,89,4708.0,63.54,2026-08-07
360ONE,EQ,07-Aug-2026,1186.0,1185.6,1192.8,1151.0,1168.1,1707560,20043.54,57598,1012314.0,59.28,2026-08-07
3BBLACKBIO,EQ,07-Aug-2026,1205.9,1193.0,1224.5,1193.0,1207.7,1984,23.95,298,1025.0,51.66,2026-08-07
3IINFOLTD,EQ,07-Aug-2026,25.5,25.33,25.94,25.2,25.79,1181251,303.19,3551,650709.0,55.09,2026-08-07
3MINDIA,EQ,07-Aug-2026,36000.0,35940.0,36270.0,35870.0,36035.0,3976,1433.3,1288,3000.0,75.45,2026-08-07
3PLAND,EQ,07-Aug-2026,32.1,32.12,32.5,31.9,32.12,1519,0.49,34,1246.0,82.03,2026-08-07
574GS2026,GS,07-Aug-2026,100.99,100.57,101.45,100.57,101.45,2,0.0,2,1.0,50.0,2026-08-07
5PAISA,EQ,07-Aug-2026,366.1,372.4,372.4,364.45,367.55,22993,84.66,1353,12968.0,56.4,2026-08-07
601GS2030,GS,07-Aug-2026,101.87,101.8,101.8,101.8,101.8,1,0.0,1,1.0,100.0,2026-08-07
603GS2029,GS,07-Aug-2026,100.36,100.36,100.36,100.36,100.36,100,0.1,3,100.0,100.0,2026-08-07
610GS2031,GS,07-Aug-2026,105.5,103.25,103.25,103.25,103.25,1,0.0,1,1.0,100.0,2026-08-07
63MOONS,EQ,07-Aug-2026,858.2,856.8,889.8,847.15,857.75,473840,4117.13,15237,173714.0,36.66,2026-08-07
648GS2035,GS,07-Aug-2026,101.2,101.2,101.2,101.0,101.15,2011,2.03,4,2011.0,100.0,2026-08-07
654GS2032,GS,07-Aug-2026,101.0,101.0,101.0,101.0,101.0,3000,3.03,1,3000.0,100.0,2026-08-07
662GS2051,GS,07-Aug-2026,90.7,90.46,92.77,90.46,92.77,6753,6.12,4,6753.0,100.0,2026-08-07
664GS2027,GS,07-Aug-2026,100.63,100.0,100.0,100.0,100.0,100,0.1,2,100.0,100.0,2026-08-07
667GS2035,GS,07-Aug-2026,99.51,103.49,103.5,100.1,103.49,2004,2.01,5,2002.0,99.9,2026-08-07
667GS2050,GS,07-Aug-2026,92.5,93.69,93.69,92.8,92.8,2001,1.86,6,2001.0,100.0,2026-08-07
668GS2033,GS,07-Aug-2026,98.7,99.0,99.0,98.7,98.85,195,0.19,2,195.0,100.0,2026-08-07
668GS2040,GS,07-Aug-2026,98.19,97.8,98.48,97.8,98.38,44212,43.47,14,44205.0,99.98,2026-08-07
675GS2029,GS,07-Aug-2026,100.0,101.47,101.47,101.47,101.47,350,0.36,1,350.0,100.0,2026-08-07
676GS2061,GS,07-Aug-2026,92.7,90.38,93.7,90.38,93.37,22693,21.16,20,22692.0,100.0,2026-08-07
68GS2060,GS,07-Aug-2026,93.4,93.7,93.7,93.5,93.55,1750,1.64,15,1750.0,100.0,2026-08-07
690GS2065,GS,07-Aug-2026,93.8,93.6,94.15,93.5,93.95,58262,54.58,39,39460.0,67.73,2026-08-07
694GS2036,GS,07-Aug-2026,101.5,102.5,102.5,102.5,102.5,300,0.31,1,300.0,100.0,2026-08-07
695GS2061,GS,07-Aug-2026,93.2,94.0,94.0,92.7,94.0,3,0.0,3,2.0,66.67,2026-08-07
697GR2034,GS,07-Aug-2026,102.5,101.25,101.25,101.25,101.25,2000,2.03,2,2000.0,100.0,2026-08-07
699GS2051,GS,07-Aug-2026,97.92,97.45,97.45,97.45,97.45,6,0.01,1,6.0,100.0,2026-08-07
702GS2027,GS,07-Aug-2026,101.01,101.01,101.01,101.01,101.01,100,0.1,1,100.0,100.0,2026-08-07
706GS2028,GS,07-Aug-2026,103.0,103.2,103.2,103.05,103.05,51741,53.39,11,51741.0,100.0,2026-08-07
706GS2041,GS,07-Aug-2026,100.0,101.75,101.75,101.75,101.75,520,0.53,1,520.0,100.0,2026-08-07
706GS2046,GS,07-Aug-2026,107.0,103.0,103.0,103.0,103.0,2,0.0,2,2.0,100.0,2026-08-07
709GS2054,GS,07-Aug-2026,96.99,97.0,97.0,96.0,96.5,27179,26.23,37,27179.0,100.0,2026-08-07
709GS2074,GS,07-Aug-2026,95.46,95.48,95.49,95.17,95.48,42948,41.01,74,42947.0,100.0,2026-08-07
716GS2050,GS,07-Aug-2026,100.01,102.25,102.25,102.25,102.25,4070,4.16,11,4070.0,100.0,2026-08-07
718GS2033,GS,07-Aug-2026,106.3,106.3,106.3,106.3,106.3,1000,1.06,1,1000.0,100.0,2026-08-07
718GS2037,GS,07-Aug-2026,102.2,103.22,103.22,102.36,102.52,19792,20.3,9,19750.0,99.79,2026-08-07
719GS2060,GS,07-Aug-2026,101.9,101.9,101.9,101.9,101.9,29,0.03,1,29.0,100.0,2026-08-07
723GS2039,GS,07-Aug-2026,104.5,104.6,104.6,104.6,104.6,2000,2.09,2,2000.0,100.0,2026-08-07
724GS2055,GS,07-Aug-2026,101.24,101.24,101.45,101.2,101.35,51725,52.38,19,51725.0,100.0,2026-08-07
725GS2063,GS,07-Aug-2026,97.59,97.7,97.7,97.35,97.42,1797173,1752.67,880,1753623.0,97.58,2026-08-07
726GS2032,GS,07-Aug-2026,107.09,106.3,106.5,106.2,106.2,9073,9.64,7,9073.0,100.0,2026-08-07
726GS2033,GS,07-Aug-2026,105.9,102.5,103.09,102.2,102.99,184172,189.27,23,184162.0,99.99,2026-08-07
733GS2026,GS,07-Aug-2026,101.5,102.1,102.2,102.1,102.2,980,1.0,3,980.0,100.0,2026-08-07
734GS2064,GS,07-Aug-2026,99.15,99.3,99.49,99.2,99.4,148792,147.84,53,140992.0,94.76,2026-08-07
737GS2028,GS,07-Aug-2026,103.7,104.75,108.0,103.75,104.6,10650,11.36,19,7050.0,66.2,2026-08-07
738GS2027,GS,07-Aug-2026,102.15,102.2,102.25,102.2,102.22,73861,75.5,20,73861.0,100.0,2026-08-07
73GS2053,GS,07-Aug-2026,99.5,99.58,99.58,99.45,99.46,17686,17.6,8,17686.0,100.0,2026-08-07
741GS2036,GS,07-Aug-2026,104.65,104.8,105.55,104.8,105.5,2800,2.95,10,2800.0,100.0,2026-08-07
743GS2076,GS,07-Aug-2026,100.0,99.5,100.45,99.5,99.5,112094,111.56,120,111994.0,99.91,2026-08-07
746GS2073,GS,07-Aug-2026,100.95,100.1,100.95,100.1,100.95,3667,3.67,9,3560.0,97.08,2026-08-07
74GS2062,GS,07-Aug-2026,101.74,100.5,101.95,100.5,101.25,4951,5.01,14,4915.0,99.27,2026-08-07
750GS2056,GS,07-Aug-2026,100.61,103.0,103.0,100.1,100.1,120,0.12,3,120.0,100.0,2026-08-07
754GS2036,GS,07-Aug-2026,106.5,106.5,106.67,106.43,106.64,562227,599.15,211,548996.0,97.65,2026-08-07
771GS2066,GS,07-Aug-2026,104.49,104.75,104.75,104.0,104.5,2967,3.09,4,2967.0,100.0,2026-08-07
824GS2027,GS,07-Aug-2026,105.1,105.3,105.3,104.21,104.21,1238,1.3,2,1238.0,100.0,2026-08-07
828GS2032,GS,07-Aug-2026,109.94,111.6,111.6,109.8,110.0,8101,8.91,11,8001.0,98.77,2026-08-07
83GS2042,GS,07-Aug-2026,105.1,105.1,105.1,105.1,105.1,200,0.21,1,200.0,100.0,2026-08-07
897GS2030,GS,07-Aug-2026,111.0,111.0,112.0,111.0,111.62,480,0.54,6,480.0,100.0,2026-08-07
92GS2030,GS,07-Aug-2026,114.0,114.0,114.0,112.8,113.84,9559,10.84,21,7059.0,73.85,2026-08-07
