SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026,GS,15-Sep-2025,107.6,104.91,109.0,104.91,107.5,2086,2.24,11,2086.0,100.0,2025-09-15
20MICRONS,EQ,15-Sep-2025,226.58,227.11,227.69,223.61,225.27,137689,310.24,2604,85706.0,62.25,2025-09-15
21STCENMGM,EQ,15-Sep-2025,53.85,54.0,54.5,52.85,53.13,9388,5.02,116,6022.0,64.15,2025-09-15
360ONE,EQ,15-Sep-2025,1068.8,1059.1,1082.9,1059.0,1079.0,353507,3782.58,24581,194475.0,55.01,2025-09-15
3IINFOLTD,EQ,15-Sep-2025,24.59,24.34,24.84,24.34,24.6,245917,60.49,1235,194744.0,79.19,2025-09-15
3MINDIA,EQ,15-Sep-2025,30715.0,30965.0,31035.0,30500.0,30575.0,2503,770.78,1327,1672.0,66.8,2025-09-15
3PLAND,EQ,15-Sep-2025,44.66,45.59,45.59,44.53,44.76,4124,1.85,125,2735.0,66.32,2025-09-15
563GS2026,GS,15-Sep-2025,103.0,105.57,105.57,101.65,101.8,34,0.03,3,22.0,64.71,2025-09-15
574GS2026,GS,15-Sep-2025,101.95,99.4,101.95,99.4,101.95,11,0.01,3,6.0,54.55,2025-09-15
5PAISA,EQ,15-Sep-2025,369.95,372.2,372.2,363.3,365.45,19657,72.08,1361,11573.0,58.87,2025-09-15
619GS2034,GS,15-Sep-2025,101.89,101.89,101.89,101.89,101.89,5,0.01,1,5.0,100.0,2025-09-15
633GS2035,GS,15-Sep-2025,100.0,100.0,100.0,100.0,100.0,1700,1.7,2,1700.0,100.0,2025-09-15
63MOONS,EQ,15-Sep-2025,941.6,940.0,941.95,926.05,929.45,68394,637.6,4456,38950.0,56.95,2025-09-15
654GS2032,GS,15-Sep-2025,103.3,100.5,101.0,100.5,101.0,2504,2.52,2,2504.0,100.0,2025-09-15
667GS2050,GS,15-Sep-2025,97.5,96.0,96.0,96.0,96.0,8,0.01,1,8.0,100.0,2025-09-15
668GS2040,GS,15-Sep-2025,99.0,99.0,99.0,99.0,99.0,1001,0.99,2,1001.0,100.0,2025-09-15
676GS2061,GS,15-Sep-2025,97.5,97.5,97.55,97.5,97.5,109903,107.16,217,109903.0,100.0,2025-09-15
679GS2031,GS,15-Sep-2025,105.0,106.57,106.57,106.57,106.57,47,0.05,1,47.0,100.0,2025-09-15
68GS2060,GS,15-Sep-2025,97.0,94.06,101.0,94.06,101.0,2,0.0,2,2.0,100.0,2025-09-15
690GS2065,GS,15-Sep-2025,98.9,99.0,99.0,98.65,98.65,7310,7.22,17,7310.0,100.0,2025-09-15
692GS2039,GS,15-Sep-2025,102.8,103.25,103.25,103.25,103.25,500,0.52,1,500.0,100.0,2025-09-15
695GS2061,GS,15-Sep-2025,100.0,97.5,97.5,97.5,97.5,12,0.01,2,12.0,100.0,2025-09-15
698GR2054,GS,15-Sep-2025,99.48,101.96,101.96,101.96,101.96,1,0.0,1,1.0,100.0,2025-09-15
699GS2051,GS,15-Sep-2025,101.0,101.0,101.0,101.0,101.0,250,0.25,1,250.0,100.0,2025-09-15
702GS2031,GS,15-Sep-2025,103.0,103.5,103.6,103.5,103.6,1200,1.24,2,1200.0,100.0,2025-09-15
704GS2029,GS,15-Sep-2025,104.4,103.51,103.51,103.5,103.5,500,0.52,2,500.0,100.0,2025-09-15
706GS2028,GS,15-Sep-2025,104.5,104.5,105.75,104.5,105.75,24100,25.48,9,23800.0,98.76,2025-09-15
709GS2054,GS,15-Sep-2025,100.34,100.24,100.24,100.0,100.0,11415,11.43,31,10910.0,95.58,2025-09-15
709GS2074,GS,15-Sep-2025,101.18,101.18,101.18,100.9,101.0,178302,180.01,128,178202.0,99.94,2025-09-15
710GS2029,GS,15-Sep-2025,105.0,105.63,105.63,104.61,104.65,20782,21.79,4,20781.0,100.0,2025-09-15
716GS2050,GS,15-Sep-2025,104.0,104.0,104.0,104.0,104.0,1,0.0,1,1.0,100.0,2025-09-15
717GS2030,GS,15-Sep-2025,106.5,106.5,106.5,106.5,106.5,4300,4.58,2,4300.0,100.0,2025-09-15
718GS2033,GS,15-Sep-2025,103.5,105.75,105.75,105.75,105.75,23,0.02,1,23.0,100.0,2025-09-15
718GS2037,GS,15-Sep-2025,105.0,105.0,105.0,104.9,105.0,310400,325.92,99,310400.0,100.0,2025-09-15
723GS2039,GS,15-Sep-2025,105.0,105.0,105.0,105.0,105.0,100,0.11,1,100.0,100.0,2025-09-15
724GS2055,GS,15-Sep-2025,102.75,102.5,102.5,101.48,101.48,300,0.31,4,300.0,100.0,2025-09-15
725GS2063,GS,15-Sep-2025,102.0,103.48,103.48,101.0,101.71,76836,77.81,67,75335.0,98.05,2025-09-15
726GS2032,GS,15-Sep-2025,104.08,103.55,103.55,103.55,103.55,900,0.93,1,900.0,100.0,2025-09-15
726GS2033,GS,15-Sep-2025,104.51,104.1,104.83,104.1,104.5,10103,10.52,3,10103.0,100.0,2025-09-15
732GS2030,GS,15-Sep-2025,105.6,106.66,106.66,105.1,105.6,6500,6.84,7,6500.0,100.0,2025-09-15
733GS2026,GS,15-Sep-2025,104.0,104.0,104.0,104.0,104.0,100,0.1,1,100.0,100.0,2025-09-15
734GS2064,GS,15-Sep-2025,103.93,104.15,104.15,103.11,103.87,7406,7.7,21,7406.0,100.0,2025-09-15
736GS2052,GS,15-Sep-2025,101.0,102.5,102.5,100.7,101.45,7885,7.97,18,7479.0,94.85,2025-09-15
737GS2028,GS,15-Sep-2025,105.5,105.05,105.7,105.05,105.7,3803,4.0,6,3803.0,100.0,2025-09-15
738GS2027,GS,15-Sep-2025,104.31,104.35,104.45,104.1,104.25,128757,134.34,21,118598.0,92.11,2025-09-15
73GS2053,GS,15-Sep-2025,102.9,102.15,102.15,102.1,102.1,120,0.12,2,120.0,100.0,2025-09-15
741GS2036,GS,15-Sep-2025,106.2,106.5,107.25,106.3,106.51,32305,34.43,10,27305.0,84.52,2025-09-15
746GS2073,GS,15-Sep-2025,104.25,104.99,104.99,103.2,103.7,4675,4.85,7,4675.0,100.0,2025-09-15
74GS2062,GS,15-Sep-2025,104.45,104.99,104.99,101.83,104.3,574,0.6,20,573.0,99.83,2025-09-15
754GS2036,GS,15-Sep-2025,108.6,108.51,108.64,108.49,108.56,469527,509.55,239,464389.0,98.91,2025-09-15
75GS2034,GS,15-Sep-2025,106.15,103.7,103.7,103.7,103.7,1000,1.04,1,1000.0,100.0,2025-09-15
772GS2049,GS,15-Sep-2025,108.0,108.0,108.6,108.0,108.6,990,1.07,3,990.0,100.0,2025-09-15
772GS2055,GS,15-Sep-2025,105.45,102.81,106.0,102.81,106.0,101,0.11,3,74.0,73.27,2025-09-15
826GS2027,GS,15-Sep-2025,103.8,104.75,105.0,103.8,103.8,1104,1.16,3,1100.0,99.64,2025-09-15
82GS2025,GS,15-Sep-2025,103.94,104.0,104.0,104.0,104.0,466,0.48,19,466.0,100.0,2025-09-15
832GS2032,GS,15-Sep-2025,107.81,107.8,107.8,107.8,107.8,1000,1.08,1,1000.0,100.0,2025-09-15
833GS2036,GS,15-Sep-2025,114.75,110.3,114.15,110.3,114.15,3000,3.39,3,2000.0,66.67,2025-09-15
92GS2030,GS,15-Sep-2025,117.9,117.0,119.5,116.71,118.27,23816,28.14,10,23733.0,99.65,2025-09-15
A2ZINFRA,BE,15-Sep-2025,19.25,18.86,19.0,18.86,18.86,102594,19.4,136,,,2025-09-15
AAATECH,EQ,15-Sep-2025,79.57,79.59,80.25,79.35,79.55,9246,7.38,244,6509.0,70.4,2025-09-15
AADHARHFC,EQ,15-Sep-2025,506.65,507.0,519.95,504.65,518.8,591860,3040.5,15157,420394.0,71.03,2025-09-15
AAKAAR,SM,15-Sep-2025,91.0,91.0,91.0,88.5,89.0,17600,15.82,11,12800.0,72.73,2025-09-15
AAKASH,BE,15-Sep-2025,10.0,9.77,10.14,9.77,9.97,171970,16.99,521,,,2025-09-15
AARADHYA,SM,15-Sep-2025,110.0,114.9,114.9,110.0,113.95,12000,13.67,6,10800.0,90.0,2025-09-15
AAREYDRUGS,BE,15-Sep-2025,73.41,73.8,74.2,71.2,71.71,23174,16.8,179,,,2025-09-15
AARON,EQ,15-Sep-2025,200.61,200.61,204.99,199.9,200.07,18989,38.23,708,11425.0,60.17,2025-09-15
AARTECH,EQ,15-Sep-2025,55.65,55.66,56.67,55.13,55.76,163763,91.43,1048,144361.0,88.15,2025-09-15
AARTIDRUGS,EQ,15-Sep-2025,509.65,508.7,515.0,503.15,508.6,184664,940.32,8414,92747.0,50.22,2025-09-15
AARTIIND,EQ,15-Sep-2025,389.4,391.25,393.8,385.65,388.9,637584,2484.36,13412,206138.0,32.33,2025-09-15
AARTIPHARM,EQ,15-Sep-2025,926.35,928.7,943.05,913.85,939.5,274241,2554.63,24297,131214.0,47.85,2025-09-15
AARTISURF,EQ,15-Sep-2025,478.5,478.5,494.5,478.5,491.75,2045,9.98,264,1277.0,62.44,2025-09-15
AARVEEDEN,BE,15-Sep-2025,171.31,174.9,174.9,165.6,170.37,9700,16.6,129,,,2025-09-15
AARVI,EQ,15-Sep-2025,122.56,122.05,125.75,121.59,123.52,8772,10.84,248,5419.0,61.78,2025-09-15
AATMAJ,SM,15-Sep-2025,20.9,20.9,21.15,20.9,21.1,10000,2.11,5,10000.0,100.0,2025-09-15
AAVAS,EQ,15-Sep-2025,1633.3,1639.9,1685.8,1633.7,1670.3,233626,3901.78,21706,125838.0,53.86,2025-09-15
ABAN,BE,15-Sep-2025,43.95,44.49,44.63,43.01,43.89,39088,17.07,284,,,2025-09-15
ABB,EQ,15-Sep-2025,5248.6,5248.6,5383.3,5241.2,5338.8,435154,23234.95,55100,163540.0,37.58,2025-09-15
ABBOTINDIA,EQ,15-Sep-2025,30980.0,30900.0,31400.0,30810.0,30910.0,5878,1827.65,3398,3366.0,57.26,2025-09-15
ABCAPITAL,EQ,15-Sep-2025,291.5,292.4,292.4,286.3,290.7,2760338,7997.8,29432,1051941.0,38.11,2025-09-15
ABCOTS,SM,15-Sep-2025,423.45,422.5,458.7,421.05,433.25,5000,21.71,18,2500.0,50.0,2025-09-15
ABDL,EQ,15-Sep-2025,545.7,556.0,565.5,548.5,564.35,1359396,7604.53,32839,456947.0,33.61,2025-09-15
ABFRL,EQ,15-Sep-2025,88.38,88.58,88.7,87.0,87.34,3116780,2735.57,19432,1302820.0,41.8,2025-09-15
ABGSEC,EQ,15-Sep-2025,109.64,109.65,110.45,109.56,110.09,180,0.2,24,97.0,53.89,2025-09-15
ABHAPOWER,ST,15-Sep-2025,43.65,45.75,45.75,45.75,45.75,1600,0.73,1,1600.0,100.0,2025-09-15
ABINFRA,EQ,15-Sep-2025,190.11,190.0,191.18,182.05,183.71,95281,175.92,1200,61665.0,64.72,2025-09-15
ABLBL,EQ,15-Sep-2025,145.48,145.48,145.89,142.84,143.57,595211,857.83,12327,356487.0,59.89,2025-09-15
ABMINTLLTD,BE,15-Sep-2025,45.25,45.25,45.25,45.25,45.25,17,0.01,3,,,2025-09-15
ABREL,EQ,15-Sep-2025,1797.1,1797.1,1875.6,1789.4,1866.2,213203,3926.28,17194,132580.0,62.18,2025-09-15
ABSLAMC,EQ,15-Sep-2025,847.15,847.9,858.0,837.65,839.35,218077,1843.17,15650,132805.0,60.9,2025-09-15
ABSLBANETF,EQ,15-Sep-2025,56.1,55.72,56.64,55.72,56.2,23988,13.48,787,19420.0,80.96,2025-09-15
ABSLLIQUID,EQ,15-Sep-2025,1000.0,999.99,1000.01,999.99,1000.0,1142,11.42,27,643.0,56.3,2025-09-15
ABSLNN50ET,EQ,15-Sep-2025,71.17,71.17,71.9,70.82,71.58,11489,8.23,294,7268.0,63.26,2025-09-15
ABSLPSE,EQ,15-Sep-2025,9.89,10.04,10.04,9.68,9.93,143022,14.21,470,111413.0,77.9,2025-09-15
ABSMARINE,SM,15-Sep-2025,184.1,183.5,195.0,182.0,189.05,60000,113.6,109,43000.0,71.67,2025-09-15
ACC,EQ,15-Sep-2025,1850.4,1853.6,1865.8,1847.0,1860.8,138568,2576.25,8684,76429.0,55.16,2025-09-15
ACCELYA,EQ,15-Sep-2025,1415.8,1409.5,1430.0,1408.3,1411.9,11543,163.54,1353,7159.0,62.02,2025-09-15
ACCENTMIC,ST,15-Sep-2025,264.4,259.75,262.5,258.0,259.15,14500,37.6,23,13000.0,89.66,2025-09-15
ACCPL,SM,15-Sep-2025,62.55,62.75,63.7,62.55,63.35,7200,4.55,6,4800.0,66.67,2025-09-15
ACCURACY,EQ,15-Sep-2025,7.15,7.0,7.18,6.97,7.1,161171,11.41,669,110665.0,68.66,2025-09-15
ACE,EQ,15-Sep-2025,1118.9,1122.0,1131.3,1115.9,1120.9,181389,2039.38,12514,75931.0,41.86,2025-09-15
ACEINTEG,EQ,15-Sep-2025,25.94,25.94,26.91,24.15,25.22,20523,5.18,366,11857.0,57.77,2025-09-15
ACI,EQ,15-Sep-2025,705.9,705.95,709.1,696.2,702.8,101902,716.44,6526,43223.0,42.42,2025-09-15
ACL,BE,15-Sep-2025,92.41,90.56,94.25,90.56,94.25,45750,42.76,210,,,2025-09-15
ACLGATI,EQ,15-Sep-2025,61.64,61.65,62.24,61.3,61.47,150688,92.81,1104,111063.0,73.7,2025-09-15
ACMESOLAR,EQ,15-Sep-2025,318.8,319.0,324.3,308.25,311.2,1689050,5362.17,28743,731575.0,43.31,2025-09-15
ACUTAAS,EQ,15-Sep-2025,1442.1,1448.0,1466.1,1422.4,1459.5,127079,1835.07,14573,58127.0,45.74,2025-09-15
ADANIENSOL,EQ,15-Sep-2025,829.9,834.0,843.4,830.05,837.15,1406308,11799.59,22314,865441.0,61.54,2025-09-15
ADANIENT,EQ,15-Sep-2025,2392.0,2392.0,2402.8,2378.1,2383.4,298129,7124.05,20087,86539.0,29.03,2025-09-15
ADANIGREEN,EQ,15-Sep-2025,981.7,984.0,993.8,983.45,986.7,924070,9131.19,23076,280201.0,30.32,2025-09-15
ADANIPORTS,EQ,15-Sep-2025,1393.1,1393.1,1409.0,1392.2,1395.2,1254831,17558.69,57931,515480.0,41.08,2025-09-15
ADANIPOWER,EQ,15-Sep-2025,648.55,656.5,666.8,640.4,644.15,7780731,50934.87,121088,2260377.0,29.05,2025-09-15
ADFFOODS,EQ,15-Sep-2025,230.25,231.15,234.98,228.0,231.85,92265,213.57,3934,52229.0,56.61,2025-09-15
ADL,EQ,15-Sep-2025,85.66,85.32,87.89,84.66,86.05,947,0.81,63,672.0,70.96,2025-09-15
ADOR,EQ,15-Sep-2025,983.25,983.25,999.0,972.05,986.6,4707,46.3,755,2218.0,47.12,2025-09-15
ADROITINFO,EQ,15-Sep-2025,10.5,10.45,10.7,10.3,10.41,48581,5.1,216,41971.0,86.39,2025-09-15
ADSL,EQ,15-Sep-2025,165.92,166.38,169.95,165.0,168.05,136005,227.09,2305,72661.0,53.43,2025-09-15
ADVANIHOTR,EQ,15-Sep-2025,60.22,61.0,61.0,60.0,60.14,19388,11.68,475,11695.0,60.32,2025-09-15
ADVENZYMES,EQ,15-Sep-2025,338.7,339.55,350.1,338.7,344.3,341553,1180.88,12342,158068.0,46.28,2025-09-15
AEGISLOG,EQ,15-Sep-2025,702.25,703.4,774.0,701.35,758.9,4876322,36806.56,146001,648338.0,13.3,2025-09-15
AEGISVOPAK,EQ,15-Sep-2025,247.09,247.0,254.5,244.66,251.19,513540,1282.59,17553,279428.0,54.41,2025-09-15
AEROENTER,EQ,15-Sep-2025,86.09,86.09,87.4,86.09,86.52,56993,49.48,748,30408.0,53.35,2025-09-15
AEROFLEX,EQ,15-Sep-2025,175.9,175.9,179.78,175.9,179.08,409687,730.7,9363,218360.0,53.3,2025-09-15
AERON,SM,15-Sep-2025,110.75,118.0,118.0,111.6,112.1,25000,28.2,24,19000.0,76.0,2025-09-15
AERONEU,EQ,15-Sep-2025,105.29,104.49,111.52,103.55,104.33,30492,32.53,1619,7282.0,23.88,2025-09-15
AESTHETIK,SM,15-Sep-2025,103.95,104.0,109.1,104.0,108.05,46000,49.91,20,40000.0,86.96,2025-09-15
AETHER,EQ,15-Sep-2025,733.35,736.0,742.1,732.65,733.75,59049,434.39,4574,35781.0,60.6,2025-09-15
AFCONS,EQ,15-Sep-2025,448.75,444.0,453.2,444.0,452.55,317759,1432.62,12305,170681.0,53.71,2025-09-15
AFFLE,EQ,15-Sep-2025,2075.9,2083.0,2084.7,2042.9,2053.4,177269,3653.1,25554,84370.0,47.59,2025-09-15
AFFORDABLE,EQ,15-Sep-2025,254.2,255.0,258.6,249.3,253.35,53192,134.57,1990,23103.0,43.43,2025-09-15
AFIL,EQ,15-Sep-2025,7.82,7.85,7.94,7.64,7.72,757342,58.73,1108,577110.0,76.2,2025-09-15
AFSL,EQ,15-Sep-2025,214.45,210.0,222.0,210.0,218.61,36658,79.88,1572,18051.0,49.24,2025-09-15
AGARIND,EQ,15-Sep-2025,948.2,952.8,955.0,920.0,927.9,19927,186.04,1705,10028.0,50.32,2025-09-15
