SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE
1018GS2026,GS,08-Dec-2025,106.1,107.69,107.69,107.69,107.69,94,0.1,1,94.0,100.0,2025-12-08
20MICRONS,EQ,08-Dec-2025,188.66,188.66,189.99,184.06,185.58,60961,113.23,2842,36676.0,60.16,2025-12-08
21STCENMGM,EQ,08-Dec-2025,42.21,43.05,43.05,41.55,43.05,5744,2.47,90,4662.0,81.16,2025-12-08
360ONE,EQ,08-Dec-2025,1146.7,1141.0,1179.0,1118.2,1128.2,908990,10369.79,39020,265762.0,29.24,2025-12-08
3IINFOLTD,EQ,08-Dec-2025,16.65,16.65,16.84,16.22,16.29,441853,72.58,1895,346534.0,78.43,2025-12-08
3MINDIA,EQ,08-Dec-2025,34125.0,34130.0,35175.0,33890.0,34915.0,12250,4251.75,6712,6299.0,51.42,2025-12-08
3PLAND,EQ,08-Dec-2025,39.1,39.99,39.99,38.05,38.33,3988,1.55,98,3512.0,88.06,2025-12-08
563GS2026,GS,08-Dec-2025,101.25,101.25,101.25,101.25,101.25,5,0.01,1,5.0,100.0,2025-12-08
579GS2030,GS,08-Dec-2025,99.4,98.4,98.4,98.4,98.4,100,0.1,1,100.0,100.0,2025-12-08
585GS2030,GS,08-Dec-2025,98.2,98.2,98.2,98.2,98.2,5,0.0,1,5.0,100.0,2025-12-08
591GS2028,GS,08-Dec-2025,101.6,101.65,102.05,101.65,102.05,1300,1.33,5,1300.0,100.0,2025-12-08
5PAISA,EQ,08-Dec-2025,314.45,314.45,316.1,298.75,302.35,88322,268.48,5530,37963.0,42.98,2025-12-08
619GS2034,GS,08-Dec-2025,96.51,96.51,96.51,96.51,96.51,1,0.0,1,1.0,100.0,2025-12-08
628GS2032,GS,08-Dec-2025,100.95,100.4,100.94,100.4,100.41,300,0.3,4,300.0,100.0,2025-12-08
633GS2035,GS,08-Dec-2025,99.5,99.0,99.5,99.0,99.5,700,0.7,3,700.0,100.0,2025-12-08
63MOONS,EQ,08-Dec-2025,807.05,812.0,822.6,760.5,763.65,267782,2106.79,10963,114358.0,42.71,2025-12-08
648GS2035,GS,08-Dec-2025,99.81,99.81,99.82,99.81,99.82,200,0.2,2,200.0,100.0,2025-12-08
667GS2050,GS,08-Dec-2025,96.0,93.6,96.99,93.6,96.11,4178,4.03,7,4150.0,99.33,2025-12-08
668GS2040,GS,08-Dec-2025,99.8,100.2,100.6,100.2,100.6,1600,1.61,3,800.0,50.0,2025-12-08
676GS2061,GS,08-Dec-2025,95.26,94.5,95.09,94.5,94.5,433,0.41,3,433.0,100.0,2025-12-08
679GS2034,GS,08-Dec-2025,101.7,101.71,101.71,101.71,101.71,100,0.1,1,100.0,100.0,2025-12-08
68GS2060,GS,08-Dec-2025,96.2,96.45,96.45,96.45,96.45,842,0.81,4,842.0,100.0,2025-12-08
690GS2065,GS,08-Dec-2025,95.32,95.5,95.7,94.55,94.71,33683,32.11,37,30351.0,90.11,2025-12-08
692GS2039,GS,08-Dec-2025,102.25,104.0,104.0,104.0,104.0,1,0.0,1,1.0,100.0,2025-12-08
695GS2061,GS,08-Dec-2025,97.0,97.01,97.72,97.0,97.7,10122,9.82,8,10120.0,99.98,2025-12-08
698GR2054,GS,08-Dec-2025,97.2,97.0,97.0,97.0,97.0,899,0.87,8,899.0,100.0,2025-12-08
699GS2026,GS,08-Dec-2025,101.3,99.27,101.1,99.27,101.1,15,0.01,2,15.0,100.0,2025-12-08
699GS2051,GS,08-Dec-2025,99.95,100.01,100.01,100.01,100.01,20,0.02,1,20.0,100.0,2025-12-08
702GS2027,GS,08-Dec-2025,101.0,102.0,102.0,101.3,101.4,7500,7.64,11,7200.0,96.0,2025-12-08
709GS2054,GS,08-Dec-2025,100.5,100.4,100.4,100.2,100.2,13150,13.19,10,13150.0,100.0,2025-12-08
709GS2074,GS,08-Dec-2025,96.16,96.69,96.69,96.05,96.09,18534,17.85,48,18192.0,98.15,2025-12-08
716GS2050,GS,08-Dec-2025,104.75,107.36,107.36,107.36,107.36,1,0.0,1,1.0,100.0,2025-12-08
717GS2030,GS,08-Dec-2025,103.85,104.25,104.7,104.25,104.7,1100,1.15,2,1100.0,100.0,2025-12-08
718GS2033,GS,08-Dec-2025,105.4,105.5,105.5,105.5,105.5,10000,10.55,2,10000.0,100.0,2025-12-08
718GS2037,GS,08-Dec-2025,105.78,106.99,106.99,105.5,106.99,20029,21.13,4,20029.0,100.0,2025-12-08
719GS2060,GS,08-Dec-2025,97.5,95.06,98.0,95.06,98.0,58,0.06,2,29.0,50.0,2025-12-08
71GS2034,GS,08-Dec-2025,103.77,104.3,104.3,104.25,104.3,7000,7.3,4,7000.0,100.0,2025-12-08
723GS2039,GS,08-Dec-2025,102.55,102.56,102.56,102.56,102.56,1000,1.03,1,1000.0,100.0,2025-12-08
724GS2055,GS,08-Dec-2025,102.0,102.0,102.4,102.0,102.1,23151,23.67,17,23000.0,99.35,2025-12-08
725GS2063,GS,08-Dec-2025,102.2,102.46,102.46,101.83,101.84,25058,25.55,22,25052.0,99.98,2025-12-08
726GS2033,GS,08-Dec-2025,106.0,106.2,106.2,106.2,106.2,1,0.0,1,1.0,100.0,2025-12-08
732GS2030,GS,08-Dec-2025,104.53,105.0,105.0,105.0,105.0,2581,2.71,1,2581.0,100.0,2025-12-08
734GS2064,GS,08-Dec-2025,100.34,99.91,100.63,99.91,100.04,105234,105.69,47,100155.0,95.17,2025-12-08
737GS2028,GS,08-Dec-2025,104.0,104.0,104.0,103.72,104.0,2300,2.39,3,2300.0,100.0,2025-12-08
738GS2027,GS,08-Dec-2025,105.75,103.1,106.0,103.1,105.7,17993,19.07,21,17993.0,100.0,2025-12-08
73GS2053,GS,08-Dec-2025,103.6,103.99,104.0,103.99,103.99,2001,2.08,3,1001.0,50.02,2025-12-08
741GS2036,GS,08-Dec-2025,109.0,107.61,108.5,107.61,108.49,25609,27.79,4,25607.0,99.99,2025-12-08
746GS2073,GS,08-Dec-2025,100.74,101.8,101.8,100.6,100.6,21834,21.99,33,21834.0,100.0,2025-12-08
74GS2062,GS,08-Dec-2025,102.1,102.5,102.5,102.5,102.5,23,0.02,3,23.0,100.0,2025-12-08
754GS2036,GS,08-Dec-2025,106.49,106.64,106.64,106.25,106.37,298586,317.7,322,283082.0,94.81,2025-12-08
763GS2059,GS,08-Dec-2025,103.51,106.95,106.95,106.95,106.95,90,0.1,1,90.0,100.0,2025-12-08
795GS2032,GS,08-Dec-2025,107.05,107.56,107.57,107.56,107.57,6,0.01,2,3.0,50.0,2025-12-08
824GS2027,GS,08-Dec-2025,104.0,109.0,109.0,105.4,105.4,300,0.32,3,300.0,100.0,2025-12-08
828GS2027,GS,08-Dec-2025,105.95,111.2,111.2,111.2,111.2,1,0.0,1,1.0,100.0,2025-12-08
833GS2026,GS,08-Dec-2025,103.0,103.9,103.9,103.9,103.9,5,0.01,1,5.0,100.0,2025-12-08
883GS2041,GS,08-Dec-2025,118.65,120.0,120.0,120.0,120.0,2,0.0,1,2.0,100.0,2025-12-08
897GS2030,GS,08-Dec-2025,111.8,111.0,111.5,111.0,111.5,1480,1.64,4,1480.0,100.0,2025-12-08
92GS2030,GS,08-Dec-2025,114.65,114.0,114.39,114.0,114.07,14989,17.1,16,14989.0,100.0,2025-12-08
A2ZINFRA,EQ,08-Dec-2025,16.04,16.04,16.89,14.78,15.0,384900,59.54,1022,255799.0,66.46,2025-12-08
AAATECH,BE,08-Dec-2025,96.83,96.83,98.49,92.15,97.78,50987,49.25,287,,,2025-12-08
AADHARHFC,EQ,08-Dec-2025,481.4,479.3,488.5,479.3,485.65,261142,1263.79,10270,151937.0,58.18,2025-12-08
AAKAAR,SM,08-Dec-2025,75.5,72.0,72.0,69.3,69.65,11200,7.89,7,9600.0,85.71,2025-12-08
AAKASH,EQ,08-Dec-2025,8.86,8.56,9.14,8.56,8.85,108611,9.63,463,62338.0,57.4,2025-12-08
AAREYDRUGS,BE,08-Dec-2025,75.62,75.0,75.0,71.83,71.83,18128,13.08,112,,,2025-12-08
AARON,EQ,08-Dec-2025,180.3,180.5,185.44,176.1,176.75,10341,18.6,531,5003.0,48.38,2025-12-08
AARTECH,EQ,08-Dec-2025,50.24,51.15,51.15,48.61,49.21,27768,13.68,735,14129.0,50.88,2025-12-08
AARTIDRUGS,EQ,08-Dec-2025,405.0,405.0,407.95,393.6,397.75,275925,1098.63,9806,159575.0,57.83,2025-12-08
AARTIIND,EQ,08-Dec-2025,363.05,366.05,367.0,350.1,351.15,682596,2424.92,28824,348805.0,51.1,2025-12-08
AARTIPHARM,EQ,08-Dec-2025,721.55,721.55,722.05,694.8,697.25,149956,1055.13,11883,87412.0,58.29,2025-12-08
AARTISURF,EQ,08-Dec-2025,402.05,405.0,405.0,390.25,392.4,11547,45.56,1338,7773.0,67.32,2025-12-08
AARVI,EQ,08-Dec-2025,124.09,124.1,126.09,121.21,122.1,21333,26.28,482,15490.0,72.61,2025-12-08
AAVAS,EQ,08-Dec-2025,1497.1,1500.0,1502.0,1478.6,1496.5,253392,3786.92,13987,162955.0,64.31,2025-12-08
ABAN,BE,08-Dec-2025,32.46,32.46,32.46,31.8,32.09,64955,20.83,309,,,2025-12-08
ABB,EQ,08-Dec-2025,5173.5,5171.5,5194.0,5049.0,5057.5,130551,6659.4,25444,69173.0,52.99,2025-12-08
ABBOTINDIA,EQ,08-Dec-2025,28945.0,28850.0,28880.0,28410.0,28725.0,12314,3516.84,6665,8688.0,70.55,2025-12-08
ABCAPITAL,EQ,08-Dec-2025,358.75,358.7,358.7,353.5,357.1,3662524,13032.81,43203,1978917.0,54.03,2025-12-08
ABCOTS,EQ,08-Dec-2025,409.9,409.75,419.75,405.05,414.05,17924,74.03,877,4372.0,24.39,2025-12-08
ABDL,EQ,08-Dec-2025,628.45,626.0,630.15,602.5,607.6,410048,2513.31,15525,219460.0,53.52,2025-12-08
ABFRL,EQ,08-Dec-2025,77.41,77.41,77.51,72.6,74.58,2673988,2022.11,25630,1499966.0,56.09,2025-12-08
ABGSEC,EQ,08-Dec-2025,111.06,111.6,111.6,111.12,111.54,12,0.01,5,12.0,100.0,2025-12-08
ABHAPOWER,SM,08-Dec-2025,33.1,33.6,33.6,32.1,32.1,9600,3.13,6,8000.0,83.33,2025-12-08
ABINFRA,EQ,08-Dec-2025,18.13,18.47,19.03,18.11,19.0,491607,92.3,939,251586.0,51.18,2025-12-08
ABLBL,EQ,08-Dec-2025,128.55,129.58,130.28,126.89,128.54,834159,1074.41,11734,375282.0,44.99,2025-12-08
ABMINTLLTD,EQ,08-Dec-2025,45.06,46.99,46.99,45.94,45.94,3,0.0,3,2.0,66.67,2025-12-08
ABREL,EQ,08-Dec-2025,1750.3,1755.0,1755.0,1644.0,1657.5,448565,7528.49,37579,223275.0,49.78,2025-12-08
ABSLAMC,EQ,08-Dec-2025,726.5,726.5,732.2,720.0,725.45,362654,2630.91,28945,275395.0,75.94,2025-12-08
ABSLBANETF,EQ,08-Dec-2025,60.96,60.97,61.03,60.33,60.48,45146,27.33,397,38028.0,84.23,2025-12-08
ABSLLIQUID,EQ,08-Dec-2025,1000.0,999.99,1000.01,999.99,1000.0,5525,55.25,20,5196.0,94.05,2025-12-08
ABSLNN50ET,EQ,08-Dec-2025,71.97,71.3,72.78,70.24,70.58,27092,19.22,528,25999.0,95.97,2025-12-08
ABSLPSE,EQ,08-Dec-2025,9.96,10.09,10.1,9.71,9.71,618909,60.45,1391,466047.0,75.3,2025-12-08
ABSMARINE,SM,08-Dec-2025,205.35,205.35,205.35,182.0,191.55,189500,363.52,301,124000.0,65.44,2025-12-08
ACC,EQ,08-Dec-2025,1798.2,1798.2,1812.8,1788.4,1796.0,153659,2765.34,23187,79554.0,51.77,2025-12-08
ACCELYA,EQ,08-Dec-2025,1319.9,1319.9,1319.9,1287.5,1291.5,16620,215.96,2078,10141.0,61.02,2025-12-08
ACCENTMIC,SM,08-Dec-2025,332.75,332.4,335.0,315.0,317.35,38000,123.51,72,28000.0,73.68,2025-12-08
ACCPL,ST,08-Dec-2025,92.45,94.0,97.0,92.6,92.6,40800,38.92,33,39600.0,97.06,2025-12-08
ACCURACY,EQ,08-Dec-2025,5.85,5.88,5.9,5.55,5.58,237320,13.45,780,177036.0,74.6,2025-12-08
ACE,EQ,08-Dec-2025,962.25,962.25,965.2,921.1,923.9,211435,1977.97,21611,128627.0,60.84,2025-12-08
ACEINTEG,EQ,08-Dec-2025,22.0,21.91,22.0,21.11,21.61,2431,0.52,72,2237.0,92.02,2025-12-08
ACI,EQ,08-Dec-2025,503.25,503.25,503.5,485.15,492.8,85908,425.39,5352,44566.0,51.88,2025-12-08
ACL,EQ,08-Dec-2025,73.76,73.76,73.76,71.5,72.07,4684,3.38,116,4235.0,90.41,2025-12-08
ACMESOLAR,EQ,08-Dec-2025,212.64,215.99,215.99,207.5,210.25,765874,1607.38,21447,415869.0,54.3,2025-12-08
ACTIVEINFR,SM,08-Dec-2025,179.0,178.9,178.9,178.9,178.9,600,1.07,1,600.0,100.0,2025-12-08
ACUTAAS,EQ,08-Dec-2025,1707.6,1710.0,1710.1,1635.0,1651.0,175338,2919.28,18650,97310.0,55.5,2025-12-08
ADANIENSOL,EQ,08-Dec-2025,978.85,978.85,982.0,949.3,960.5,1414070,13601.22,48979,842687.0,59.59,2025-12-08
ADANIENT,EQ,08-Dec-2025,2265.4,2265.4,2270.4,2205.0,2216.2,939764,20955.08,43380,287471.0,30.59,2025-12-08
ADANIGREEN,EQ,08-Dec-2025,1017.7,1016.1,1021.0,990.0,993.8,1311474,13125.4,44065,434821.0,33.16,2025-12-08
ADANIPORTS,EQ,08-Dec-2025,1509.4,1509.4,1510.9,1472.6,1480.5,1070689,15925.13,49838,534508.0,49.92,2025-12-08
ADANIPOWER,EQ,08-Dec-2025,143.78,144.25,145.16,138.21,139.04,14985881,21035.68,109678,6080988.0,40.58,2025-12-08
ADFFOODS,EQ,08-Dec-2025,201.5,201.01,203.2,199.55,201.28,57470,115.67,1623,35404.0,61.6,2025-12-08
ADL,EQ,08-Dec-2025,73.08,73.08,75.99,70.0,70.56,333,0.24,17,273.0,81.98,2025-12-08
ADOR,EQ,08-Dec-2025,1065.0,1058.1,1065.6,1035.0,1049.0,10307,108.55,906,7027.0,68.18,2025-12-08
ADROITINFO,EQ,08-Dec-2025,10.28,10.28,10.28,9.8,10.0,55526,5.58,193,46148.0,83.11,2025-12-08
ADSL,EQ,08-Dec-2025,161.29,161.18,166.2,152.25,153.96,262860,411.95,4750,109814.0,41.78,2025-12-08
ADVANCE,EQ,08-Dec-2025,118.21,118.0,119.29,114.52,115.6,345164,401.47,4553,172237.0,49.9,2025-12-08
ADVANIHOTR,EQ,08-Dec-2025,56.83,56.56,56.8,55.02,55.51,31477,17.64,769,21896.0,69.56,2025-12-08
ADVENTHTL,EQ,08-Dec-2025,207.84,213.0,213.0,195.5,196.78,286569,580.85,4787,165091.0,57.61,2025-12-08
ADVENZYMES,EQ,08-Dec-2025,305.9,306.95,313.7,300.95,304.05,282035,862.36,7500,143544.0,50.9,2025-12-08
AEGISLOG,EQ,08-Dec-2025,740.95,741.95,748.85,722.2,729.9,304522,2238.55,19168,144338.0,47.4,2025-12-08
AEGISVOPAK,EQ,08-Dec-2025,259.6,260.35,261.3,239.4,242.8,1081510,2654.86,27800,663089.0,61.31,2025-12-08
AEROENTER,EQ,08-Dec-2025,82.84,82.34,82.45,78.5,79.07,119047,95.49,3138,74843.0,62.87,2025-12-08
AEROFLEX,EQ,08-Dec-2025,176.75,177.32,177.32,166.81,168.75,462122,789.62,6699,252573.0,54.66,2025-12-08
AERON,SM,08-Dec-2025,95.2,92.1,94.0,89.05,90.65,35000,32.12,32,28000.0,80.0,2025-12-08
AERONEU,EQ,08-Dec-2025,76.35,77.01,77.01,72.5,73.8,71571,53.45,334,56777.0,79.33,2025-12-08
AESTHETIK,SM,08-Dec-2025,104.95,100.05,100.05,100.05,100.05,1000,1.0,1,1000.0,100.0,2025-12-08
AETHER,EQ,08-Dec-2025,847.5,845.0,847.15,810.5,815.9,149237,1231.29,17003,91305.0,61.18,2025-12-08
AFCONS,EQ,08-Dec-2025,398.9,398.9,400.75,384.5,388.3,750657,2952.9,18697,485243.0,64.64,2025-12-08
AFFLE,EQ,08-Dec-2025,1632.8,1630.0,1648.0,1583.0,1610.1,269006,4330.71,34002,155642.0,57.86,2025-12-08
AFFORDABLE,EQ,08-Dec-2025,215.38,215.0,218.62,205.71,207.52,37926,79.97,1932,23525.0,62.03,2025-12-08
AFIL,EQ,08-Dec-2025,7.05,6.9,7.05,6.84,6.87,1078704,74.66,2150,813980.0,75.46,2025-12-08
AFSL,EQ,08-Dec-2025,201.07,201.07,203.7,201.0,201.11,56575,113.88,862,37428.0,66.16,2025-12-08
AGARIND,EQ,08-Dec-2025,728.0,728.0,728.0,686.0,691.25,29392,205.88,2399,17900.0,60.9,2025-12-08
AGARWALEYE,EQ,08-Dec-2025,506.0,506.0,506.0,492.0,499.7,107363,535.16,7657,53487.0,49.82,2025-12-08
AGARWALTUF,SM,08-Dec-2025,127.6,125.0,125.0,117.0,118.0,116400,138.09,77,93600.0,80.41,2025-12-08
AGI,EQ,08-Dec-2025,746.6,748.7,749.75,702.0,711.65,95166,687.07,5839,61970.0,65.12,2025-12-08
AGIIL,EQ,08-Dec-2025,276.75,276.05,276.45,270.0,270.65,140016,379.81,2828,92001.0,65.71,2025-12-08
AGNI,SM,08-Dec-2025,23.5,23.0,25.0,23.0,24.5,15000,3.62,6,12500.0,83.33,2025-12-08
AGRITECH,EQ,08-Dec-2025,130.99,131.0,134.0,126.02,126.82,14305,18.58,389,7040.0,49.21,2025-12-08
AGROPHOS,EQ,08-Dec-2025,38.55,39.0,39.0,36.2,36.7,31289,11.69,402,20535.0,65.63,2025-12-08
AGSTRA,BZ,08-Dec-2025,4.3,4.3,4.51,4.3,4.46,223657,10.0,541,,,2025-12-08
AGUL,SM,08-Dec-2025,62.6,59.5,59.5,59.5,59.5,8000,4.76,3,6000.0,75.0,2025-12-08
AHCL,BE,08-Dec-2025,148.53,147.1,155.0,141.1,142.4,115811,170.41,717,,,2025-12-08
AHLADA,EQ,08-Dec-2025,50.36,51.61,51.75,45.85,49.19,35538,17.17,501,21847.0,61.48,2025-12-08
AHLEAST,EQ,08-Dec-2025,135.48,130.1,135.48,130.1,133.34,1718,2.29,54,1356.0,78.93,2025-12-08
AHLUCONT,EQ,08-Dec-2025,993.1,992.0,993.9,954.05,957.25,42586,411.81,6200,21353.0,50.14,2025-12-08
AIAENG,EQ,08-Dec-2025,3765.8,3784.4,3800.0,3618.9,3659.5,25151,928.03,6574,13554.0,53.89,2025-12-08
AIIL,EQ,08-Dec-2025,2641.3,2640.0,2665.0,2575.0,2589.0,47520,1238.23,8743,25683.0,54.05,2025-12-08
AIMTRON,ST,08-Dec-2025,823.15,795.0,819.1,782.0,782.0,35000,275.49,131,33200.0,94.86,2025-12-08
AIRAN,EQ,08-Dec-2025,18.22,18.29,18.29,17.63,17.79,108458,19.46,716,90927.0,83.84,2025-12-08
AIROLAM,EQ,08-Dec-2025,106.5,108.99,108.99,98.3,100.49,28257,28.64,340,23085.0,81.7,2025-12-08
AIRTELPP,E1,08-Dec-2025,1584.4,1580.0,1596.8,1560.0,1573.95,56764,893.39,3837,39160.0,68.99,2025-12-08
AJANTPHARM,EQ,08-Dec-2025,2640.6,2645.2,2690.0,2632.5,2658.3,154563,4128.08,24544,81153.0,52.5,2025-12-08
AJAXENGG,EQ,08-Dec-2025,615.4,615.55,619.05,599.0,604.7,44081,267.91,4208,23874.0,54.16,2025-12-08
AJMERA,EQ,08-Dec-2025,986.9,994.0,994.0,933.3,942.5,60251,576.17,3715,34282.0,56.9,2025-12-08
AJOONI,EQ,08-Dec-2025,4.54,4.58,4.58,4.41,4.48,188295,8.49,589,136908.0,72.71,2025-12-08
AKANKSHA,SM,08-Dec-2025,74.0,74.1,75.0,72.1,72.9,20000,14.73,17,11000.0,55.0,2025-12-08
AKASH,EQ,08-Dec-2025,24.77,25.2,26.0,24.6,24.84,14695,3.74,126,7967.0,54.22,2025-12-08
AKG,EQ,08-Dec-2025,12.17,12.45,12.45,11.71,11.73,44188,5.23,165,39212.0,88.74,2025-12-08
AKI,EQ,08-Dec-2025,6.88,6.8,7.56,6.8,7.55,120828,8.93,317,108591.0,89.87,2025-12-08
AKIKO,ST,08-Dec-2025,270.95,265.0,274.5,259.1,267.75,11200,29.41,14,11200.0,100.0,2025-12-08
AKSHAR,EQ,08-Dec-2025,0.54,0.54,0.55,0.53,0.53,963450,5.18,551,654274.0,67.91,2025-12-08
AKSHARCHEM,EQ,08-Dec-2025,250.3,246.2,254.05,245.1,249.05,3652,9.08,218,2045.0,56.0,2025-12-08
AKSHOPTFBR,EQ,08-Dec-2025,6.22,6.07,6.24,6.07,6.1,179032,10.97,519,138082.0,77.13,2025-12-08
AKUMS,EQ,08-Dec-2025,420.0,415.5,422.75,414.0,418.35,310538,1300.43,7481,221523.0,71.34,2025-12-08
AKZOINDIA,EQ,08-Dec-2025,3513.4,3520.0,3582.4,3451.5,3489.7,113292,4007.57,17573,19708.0,17.4,2025-12-08
ALANKIT,EQ,08-Dec-2025,10.82,11.4,11.4,10.65,10.67,172054,18.6,830,128835.0,74.88,2025-12-08
ALBERTDAVD,EQ,08-Dec-2025,783.55,779.65,800.3,754.55,755.55,6091,47.07,597,3356.0,55.1,2025-12-08
ALCODIS,SM,08-Dec-2025,111.2,111.1,111.1,101.15,103.05,4375,4.65,7,3125.0,71.43,2025-12-08
ALEMBICLTD,EQ,08-Dec-2025,100.85,100.99,102.31,97.41,97.96,412548,408.19,4347,205855.0,49.9,2025-12-08
ALICON,EQ,08-Dec-2025,882.45,890.0,890.0,832.25,838.95,13050,110.74,1587,8324.0,63.79,2025-12-08
ALIVUS,EQ,08-Dec-2025,883.75,887.0,887.0,847.2,860.05,118982,1023.46,9772,75022.0,63.05,2025-12-08
ALKALI,EQ,08-Dec-2025,79.51,78.51,80.0,78.03,78.44,4409,3.48,132,2110.0,47.86,2025-12-08
